detected,predicted_family,source_type,sink,module,field,file,line,path_valid,evidence,case_id,detector,config_sha256,policy_sha256,status
True,UNKNOWN_LEAK,,selected_doc_ids,invariance,selected_doc_ids,selection,,True,changed_qids=3,c_0337ee8e95fc4c30,invariance,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
True,UNKNOWN_LEAK,EvidenceGold,candidate_scoring,selector,aux_11,runtime_taint_trace.jsonl,,True,full_audit_component=runtime_taint; taint reached deployment sink,c_0337ee8e95fc4c30,full_audit,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
True,UNKNOWN_LEAK,,,keyword_static_baseline,label,adapter.py,,,keyword:label,c_084667a283314b02,keyword_static_baseline,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_084667a283314b02,ast_static_dataflow,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_084667a283314b02,schema_guard,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_084667a283314b02,runtime_taint,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_084667a283314b02,invariance,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_084667a283314b02,full_audit,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
True,UNKNOWN_LEAK,,,keyword_static_baseline,label,adapter.py,,,keyword:label,c_0eb7d0f8f6ee43c4,keyword_static_baseline,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_0eb7d0f8f6ee43c4,ast_static_dataflow,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_0eb7d0f8f6ee43c4,schema_guard,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_0eb7d0f8f6ee43c4,runtime_taint,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_0eb7d0f8f6ee43c4,invariance,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_0eb7d0f8f6ee43c4,full_audit,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
True,UNKNOWN_LEAK,,,keyword_static_baseline,label,adapter.py,,,keyword:label,c_0f357c79137b4ab5,keyword_static_baseline,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_0f357c79137b4ab5,ast_static_dataflow,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_0f357c79137b4ab5,schema_guard,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_0f357c79137b4ab5,runtime_taint,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_0f357c79137b4ab5,invariance,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_0f357c79137b4ab5,full_audit,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
True,UNKNOWN_LEAK,,,keyword_static_baseline,label,adapter.py,,,keyword:label,c_0f935733be9940a8,keyword_static_baseline,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_0f935733be9940a8,ast_static_dataflow,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_0f935733be9940a8,schema_guard,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_0f935733be9940a8,runtime_taint,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_0f935733be9940a8,invariance,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_0f935733be9940a8,full_audit,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
True,UNKNOWN_LEAK,,,keyword_static_baseline,label,adapter.py,,,keyword:label,c_0fb926f7378948c2,keyword_static_baseline,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_0fb926f7378948c2,ast_static_dataflow,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_0fb926f7378948c2,schema_guard,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
True,UNKNOWN_LEAK,EvidenceGold,candidate_scoring,selector,aux_67,runtime_taint_trace.jsonl,,True,taint reached deployment sink,c_0fb926f7378948c2,runtime_taint,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_0fb926f7378948c2,invariance,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
True,UNKNOWN_LEAK,EvidenceGold,candidate_scoring,selector,aux_67,runtime_taint_trace.jsonl,,True,full_audit_component=runtime_taint; taint reached deployment sink,c_0fb926f7378948c2,full_audit,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
True,UNKNOWN_LEAK,,,keyword_static_baseline,label,adapter.py,,,keyword:label,c_12a921a9f7574f48,keyword_static_baseline,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_12a921a9f7574f48,ast_static_dataflow,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_12a921a9f7574f48,schema_guard,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_12a921a9f7574f48,runtime_taint,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_12a921a9f7574f48,invariance,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_12a921a9f7574f48,full_audit,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
True,UNKNOWN_LEAK,,,keyword_static_baseline,label,adapter.py,,,keyword:label,c_1960c4abfc3b472f,keyword_static_baseline,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_1960c4abfc3b472f,ast_static_dataflow,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_1960c4abfc3b472f,schema_guard,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_1960c4abfc3b472f,runtime_taint,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_1960c4abfc3b472f,invariance,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_1960c4abfc3b472f,full_audit,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
True,UNKNOWN_LEAK,,,keyword_static_baseline,label,adapter.py,,,keyword:label,c_1bc2135ee00d465a,keyword_static_baseline,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_1bc2135ee00d465a,ast_static_dataflow,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_1bc2135ee00d465a,schema_guard,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_1bc2135ee00d465a,runtime_taint,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_1bc2135ee00d465a,invariance,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_1bc2135ee00d465a,full_audit,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
True,UNKNOWN_LEAK,,,keyword_static_baseline,label,adapter.py,,,keyword:label,c_1c888b5039314b44,keyword_static_baseline,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_1c888b5039314b44,ast_static_dataflow,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_1c888b5039314b44,schema_guard,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
True,UNKNOWN_LEAK,EvidenceGold,feature_matrix,feature_builder,aux_47,runtime_taint_trace.jsonl,,True,taint reached deployment sink,c_1c888b5039314b44,runtime_taint,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_1c888b5039314b44,invariance,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
True,UNKNOWN_LEAK,EvidenceGold,feature_matrix,feature_builder,aux_47,runtime_taint_trace.jsonl,,True,full_audit_component=runtime_taint; taint reached deployment sink,c_1c888b5039314b44,full_audit,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
True,UNKNOWN_LEAK,,,keyword_static_baseline,label,adapter.py,,,keyword:label,c_20a8d216644f4d40,keyword_static_baseline,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_20a8d216644f4d40,ast_static_dataflow,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_20a8d216644f4d40,schema_guard,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_20a8d216644f4d40,runtime_taint,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_20a8d216644f4d40,invariance,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_20a8d216644f4d40,full_audit,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
True,UNKNOWN_LEAK,,,keyword_static_baseline,label,adapter.py,,,keyword:label,c_217dbdab703b4b70,keyword_static_baseline,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_217dbdab703b4b70,ast_static_dataflow,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_217dbdab703b4b70,schema_guard,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
True,UNKNOWN_LEAK,EvidenceGold,candidate_scoring,selector,aux_53,runtime_taint_trace.jsonl,,True,taint reached deployment sink,c_217dbdab703b4b70,runtime_taint,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_217dbdab703b4b70,invariance,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
True,UNKNOWN_LEAK,EvidenceGold,candidate_scoring,selector,aux_53,runtime_taint_trace.jsonl,,True,full_audit_component=runtime_taint; taint reached deployment sink,c_217dbdab703b4b70,full_audit,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
True,UNKNOWN_LEAK,,,keyword_static_baseline,label,adapter.py,,,keyword:label,c_24e99b2a1a02410d,keyword_static_baseline,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_24e99b2a1a02410d,ast_static_dataflow,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_24e99b2a1a02410d,schema_guard,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_24e99b2a1a02410d,runtime_taint,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_24e99b2a1a02410d,invariance,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_24e99b2a1a02410d,full_audit,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
True,UNKNOWN_LEAK,,,keyword_static_baseline,label,adapter.py,,,keyword:label,c_26602083d2304cbb,keyword_static_baseline,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_26602083d2304cbb,ast_static_dataflow,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_26602083d2304cbb,schema_guard,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_26602083d2304cbb,runtime_taint,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_26602083d2304cbb,invariance,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_26602083d2304cbb,full_audit,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
True,UNKNOWN_LEAK,,,keyword_static_baseline,label,adapter.py,,,keyword:label,c_28b40afbe7c24860,keyword_static_baseline,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_28b40afbe7c24860,ast_static_dataflow,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_28b40afbe7c24860,schema_guard,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_28b40afbe7c24860,runtime_taint,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_28b40afbe7c24860,invariance,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_28b40afbe7c24860,full_audit,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
True,UNKNOWN_LEAK,,,keyword_static_baseline,label,adapter.py,,,keyword:label,c_2b47837694ae4f1b,keyword_static_baseline,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_2b47837694ae4f1b,ast_static_dataflow,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
True,UNKNOWN_LEAK,,,schema_guard,aux_11,,,,extra metadata field,c_2b47837694ae4f1b,schema_guard,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
