qid_hash,doc_id_hash,has_evidence_gold
h_3b859581fd395a81,h_96dc5532a3c26991,True
h_3b859581fd395a81,h_0b507009863037ed,True
h_3b859581fd395a81,h_ead06ff34c8f04a0,True
h_3b859581fd395a81,h_66da5b8ff62628f8,True
h_3b859581fd395a81,h_3da514cd1b3a1c4e,True
h_3b859581fd395a81,h_3518edfcd267df99,True
h_3b859581fd395a81,h_e1263c1b5373b337,True
h_f73c33b00131d4a3,h_12c56d047da96556,True
h_f73c33b00131d4a3,h_3d41ff4025e5120c,True
h_3bbfd8c7edbcf7a9,h_4a0ac5b57e847f76,True
h_3bbfd8c7edbcf7a9,h_fd771c58b3ae74f1,True
h_3bbfd8c7edbcf7a9,h_41f72f3764472271,True
h_3bbfd8c7edbcf7a9,h_1f945983b69d5660,True
h_3bbfd8c7edbcf7a9,h_b2f7e308aa7eb0d3,True
h_33f1ef500ea1ca06,h_0b507009863037ed,True
h_33f1ef500ea1ca06,h_d8648b81b7dba12f,True
h_33f1ef500ea1ca06,h_08a45ef6f528a848,True
h_33f1ef500ea1ca06,h_fc27d8b159be329e,True
h_33f1ef500ea1ca06,h_5c8823a75fbf4c64,True
h_33f1ef500ea1ca06,h_f71f4c12de1b012e,True
h_fa786c4511a68302,h_6ac4de5eacf1c3f9,True
h_fa786c4511a68302,h_0061696cc37f106a,True
h_fa786c4511a68302,h_5b2aca68a7c5b039,True
h_4443ef6128bcdd6a,h_e69529312fa278c1,True
h_4443ef6128bcdd6a,h_fe41d60414278c24,True
h_4443ef6128bcdd6a,h_b865d31129bd651a,True
h_4443ef6128bcdd6a,h_eee86455961e7667,True
h_4443ef6128bcdd6a,h_c5c15c979061cd01,True
h_4443ef6128bcdd6a,h_9675408d736f44bb,True
h_4443ef6128bcdd6a,h_5f346670f20b7968,True
h_89e68e84a29a8317,h_c52bb781124accc8,True
h_89e68e84a29a8317,h_6c46181f6a91af3a,True
h_77b59ebdf28d1298,h_64b3b41307c93ff2,True
h_77b59ebdf28d1298,h_26fe5a9589cbb624,True
h_77b59ebdf28d1298,h_188d414c09fb6143,True
h_77b59ebdf28d1298,h_ade1e845ed58ec0d,True
h_8d5e595867a16ee4,h_da8ba30c6579f39c,True
h_8d5e595867a16ee4,h_62535918e9eb167c,True
h_8d5e595867a16ee4,h_ea48c89053cc5600,True
h_94a854a9b2a13918,h_9461431649f3ead2,True
h_94a854a9b2a13918,h_4771290d3e74726e,True
h_94a854a9b2a13918,h_17d591267345c4f3,True
h_94a854a9b2a13918,h_dfb453b66b9365e0,True
h_94a854a9b2a13918,h_96df7c8ab7c0dc85,True
h_94a854a9b2a13918,h_7812ee6d397fae37,True
h_ade01a0ba2077541,h_f3804ebbb97fdd42,True
h_ade01a0ba2077541,h_16a626567412c33c,True
h_ade01a0ba2077541,h_413b805bfb297b44,True
h_ade01a0ba2077541,h_23a6152af7e98a8f,True
h_63c9cef3d1e00a43,h_3408304d3be7aa80,True
h_63c9cef3d1e00a43,h_e4a93638e3ce24dd,True
h_63c9cef3d1e00a43,h_afed8408a3c5bf32,True
h_63c9cef3d1e00a43,h_081fb6b95657d699,True
h_53fc8adaea9f5f87,h_e393b81f5d3aa2b5,True
h_53fc8adaea9f5f87,h_4ff5db1b42be9435,True
h_53fc8adaea9f5f87,h_320eec9dbffff6a4,True
h_53fc8adaea9f5f87,h_002b0d43de518b93,True
h_0090dd284c02023a,h_6b7b3b63a6efdad9,True
h_0090dd284c02023a,h_907c68f60c4354ef,True
h_0090dd284c02023a,h_08a45ef6f528a848,True
h_0090dd284c02023a,h_c0c70cb0b1d13ceb,True
h_0090dd284c02023a,h_c53113593ae7c058,True
h_0090dd284c02023a,h_e3ebc7e046e20b77,True
h_ec14661dfdb4aa1a,h_9df79e1a4da0fdde,True
h_ec14661dfdb4aa1a,h_3ac7d9238f6ecf9f,True
h_ec14661dfdb4aa1a,h_835164e23fdcea2e,True
h_ec14661dfdb4aa1a,h_4dcbb91edec61c48,True
h_ec14661dfdb4aa1a,h_e3dedc97379d6574,True
h_ec14661dfdb4aa1a,h_5f583c78715aa56c,True
h_ec14661dfdb4aa1a,h_fe972a4830e94702,True
h_ec14661dfdb4aa1a,h_72da849deb11e320,True
h_ec14661dfdb4aa1a,h_a46970f98adeeaf8,True
h_ec14661dfdb4aa1a,h_215da2ea0d077125,True
h_ec14661dfdb4aa1a,h_13d34a73c833c025,True
h_75398ff6bbbe2d26,h_13aecd27c08e90f6,True
h_75398ff6bbbe2d26,h_e5f7195c547b03ea,True
h_c8d42efbd8b87fbf,h_32c7a28ec008c2e0,True
h_c8d42efbd8b87fbf,h_08a45ef6f528a848,True
h_c8d42efbd8b87fbf,h_915cb0744040b1df,True
h_c8d42efbd8b87fbf,h_addbd2bc5f4afcff,True
h_c8d42efbd8b87fbf,h_c968978835aa46d1,True
h_76924abb4c897425,h_613c0067a8031afc,True
h_8d064650f444c465,h_415802a72250efc0,True
h_bfbbfb23b7934435,h_f6ff4a34d811a96c,True
h_bfbbfb23b7934435,h_dfe014366dcb5241,True
h_bfbbfb23b7934435,h_aaddd9c3ab4f0ee8,True
h_bfbbfb23b7934435,h_3da36bac0b135387,True
h_bfbbfb23b7934435,h_ddfc70dbce8447ba,True
h_a9a8a6d762a7bc06,h_9585e92206d92dd9,True
h_a9a8a6d762a7bc06,h_df65ed5d77b8b0d0,True
h_a9a8a6d762a7bc06,h_83a69e8f769ca9ef,True
h_a9a8a6d762a7bc06,h_7d21b0985a393f1e,True
h_a9a8a6d762a7bc06,h_f001e2493b0d251a,True
h_a9a8a6d762a7bc06,h_c283dfcb1b477910,True
h_adddfcdb733eb699,h_b28f7c6cd42bb5db,True
h_4b228af28a222492,h_d4839d4b12503327,True
h_4b228af28a222492,h_af8276191c936543,True
h_4b228af28a222492,h_ba30dd385a2d4be8,True
h_09d7a1a61baf6400,h_ba64f495e4a7270d,True
h_d8cbe284def1a50c,h_986a4d558af91ca7,True
h_d8cbe284def1a50c,h_fc27d8b159be329e,True
h_d8cbe284def1a50c,h_fb239d74a840e976,True
h_0731672f8ba38c22,h_27d462dd65a9d718,True
h_0731672f8ba38c22,h_bec129f1a8e14bc9,True
h_0731672f8ba38c22,h_4ba470305843f5c8,True
h_0731672f8ba38c22,h_ad678ee6556eaf79,True
h_78f48a397b8667fb,h_db3a02bc4ded4644,True
h_78f48a397b8667fb,h_fb239d74a840e976,True
h_1161687597cc5195,h_6c2d2f4184c9a300,True
h_1161687597cc5195,h_32108e4f14a51886,True
h_1161687597cc5195,h_36e0f25ad5270f63,True
h_1161687597cc5195,h_bec2e17c870179cc,True
h_1161687597cc5195,h_c44fa77b2ba5ddca,True
h_2faf0130d11cda85,h_9ad6600480d49a5a,True
h_2faf0130d11cda85,h_fb239d74a840e976,True
h_5db72fe84a66029e,h_3aa2a71296afe475,True
h_2a3319e306b8c95e,h_120a878ecc430747,True
h_2a3319e306b8c95e,h_349659fcf185df89,True
h_2a3319e306b8c95e,h_fd7b8f69e54dcf17,True
h_2a3319e306b8c95e,h_4633771bf5c85b3f,True
h_a1696a9d4d35d8eb,h_730db41e854f1aed,True
h_56aee866aad71779,h_49dfd5dbc20d289e,True
h_4d88f82a41ba4883,h_63618b0f46fa5901,True
h_35f315394f1454ca,h_0c2c511b5d194071,True
h_35f315394f1454ca,h_ea897e3f7d081145,True
h_35f315394f1454ca,h_d8374537214380bd,True
h_35f315394f1454ca,h_8f7de22a0673cb71,True
h_35f315394f1454ca,h_2e6c6401966ad05c,True
h_35f315394f1454ca,h_9628bf07115d1fc2,True
h_35f315394f1454ca,h_6ea13bb1c0cbe3e9,True
h_a036806a6288ce8e,h_bb5ab7dec7705009,True
h_a036806a6288ce8e,h_5b6673108f07b130,True
h_a5289f1960ec85df,h_2df793b4de128587,True
h_a5289f1960ec85df,h_603c436bc76b2a6f,True
h_0fcad1451d8a52f0,h_f3d149fbeca2473c,True
h_3e9d095ffe04e1dd,h_b19786e55a202964,True
h_71845850351421e5,h_9df79e1a4da0fdde,True
h_71845850351421e5,h_f590b4d7d1b3dfbe,True
h_71845850351421e5,h_bbeecc85e1b82c28,True
h_71845850351421e5,h_cd79cc8d5d8bbc76,True
h_71845850351421e5,h_c1bf88ea249c4b5a,True
h_935859e0ce70ad2d,h_6085799a06b54590,True
h_935859e0ce70ad2d,h_90e0545208cbe087,True
h_93f52c898e7493f0,h_58e357d8712f7679,True
h_93f52c898e7493f0,h_341787069849a216,True
h_93f52c898e7493f0,h_64fd5afd22a26ecd,True
h_93f52c898e7493f0,h_a08b80eedb2bb00a,True
h_93f52c898e7493f0,h_e087f6e52aa7cccb,True
h_93f52c898e7493f0,h_8bfc1d9d646dea71,True
h_4132aa9f914dd400,h_3e1bde9bf6cbfbee,True
h_4132aa9f914dd400,h_6359d813cd164de8,True
h_4132aa9f914dd400,h_96df7c8ab7c0dc85,True
h_4132aa9f914dd400,h_370dd64734647db8,True
h_2f1e548763c998c1,h_e421d602bbf5c7aa,True
h_2f1e548763c998c1,h_fb239d74a840e976,True
h_f5c59643f1640f52,h_62915b012fc4997d,True
h_f5c59643f1640f52,h_a4ac893167f31e13,True
h_7cd56a963461eba8,h_33dfd0535fc1f586,True
h_1d84ae67852da347,h_8329804bb05c135b,True
h_185b757724f24441,h_6308e947648e0658,True
h_185b757724f24441,h_cb3ffd15fec5afd7,True
h_f0da2634e5b19f13,h_b5541753b36e443f,True
h_19a64aefaff94913,h_6d8523efddcecd18,True
h_19a64aefaff94913,h_ad53aa773214ef81,True
h_3b0dfa043436e728,h_2ff66e3bdbc15ac2,True
h_3b0dfa043436e728,h_0b950127e287961f,True
h_2ccdf6f2ccc0bce7,h_9df79e1a4da0fdde,True
h_2ccdf6f2ccc0bce7,h_6359d813cd164de8,True
h_2ccdf6f2ccc0bce7,h_b0df1b61554c59bc,True
h_2ccdf6f2ccc0bce7,h_6429b33e3239d0d5,True
h_2ccdf6f2ccc0bce7,h_10d3f4041a0e2b64,True
h_2ccdf6f2ccc0bce7,h_69d741bbc4919a68,True
h_964afc20a1d837fe,h_a4f42bd3fba0b3d5,True
h_964afc20a1d837fe,h_a29c8074d82a8e45,True
h_964afc20a1d837fe,h_fbd69840a99c562f,True
h_7f122ec85fd92ccb,h_5b37cb76ad0bd729,True
h_7f122ec85fd92ccb,h_b1c26c745a97cf5c,True
h_7f122ec85fd92ccb,h_3e1bde9bf6cbfbee,True
h_7f122ec85fd92ccb,h_325596c50d507a72,True
h_7f122ec85fd92ccb,h_bdbf737ac4b97c8f,True
h_7f122ec85fd92ccb,h_7e4ada5ab0a36bd1,True
h_6f52fede6f0c3811,h_48d2e2abe088c1e5,True
h_6f52fede6f0c3811,h_b97e7f2b1113634c,True
h_59211fa4542d2c9f,h_fdd6417ed5b6b3d8,True
h_59211fa4542d2c9f,h_f9d4cf3830fb139a,True
h_59211fa4542d2c9f,h_acfecf02726562ca,True
h_59211fa4542d2c9f,h_803205814baca92b,True
h_59211fa4542d2c9f,h_82f1e0d22bda3131,True
h_59211fa4542d2c9f,h_623b0c15590a94a5,True
h_7a9d3d4163ea6d74,h_986a4d558af91ca7,True
h_7a9d3d4163ea6d74,h_f9751af4c3b85a4a,True
h_7a9d3d4163ea6d74,h_99eff632a603bf77,True
h_7a9d3d4163ea6d74,h_498fcb9b5c9ed023,True
h_a4c6cc2d0344dbf8,h_8df4fa1ff350237b,True
h_a4c6cc2d0344dbf8,h_160d11939601a5d7,True
h_f09012a393b7b5be,h_17a26920b3bb1406,True
h_baa319eaa3b86279,h_a59d3812fbc0bc82,True
h_baa319eaa3b86279,h_474dab3dfa588418,True
h_baa319eaa3b86279,h_b9167ba8c38d5b74,True
h_21845abacd62a0c3,h_08a45ef6f528a848,True
h_21845abacd62a0c3,h_fc27d8b159be329e,True
h_dc2e6dcc378dc471,h_514e5cf7faa4d024,True
h_e97fe6737cf45b1d,h_ab1836bb9aa034fc,True
h_e97fe6737cf45b1d,h_d9fd9ea5d1392791,True
h_ddfdbe12e25a9300,h_d31afe80f2f58a35,True
h_ddfdbe12e25a9300,h_4540877fc7a4edbc,True
h_888d0173b1dc7cba,h_2b194228a0357671,True
h_888d0173b1dc7cba,h_ce9794aac053b817,True
h_888d0173b1dc7cba,h_1b5c0d22c28fa640,True
h_c0e319b715d02b78,h_adf897f803e13cc7,True
h_c0e319b715d02b78,h_a4e3b1e1a1b0b316,True
h_c0e319b715d02b78,h_b418bca7f4b6783a,True
h_c0e319b715d02b78,h_d61ada1317e53418,True
h_c0e319b715d02b78,h_0ddc7e377ff8858b,True
h_6766d10184784c3d,h_b809a77fbe3f08dc,True
h_6766d10184784c3d,h_9c876164e4d7ba09,True
h_6766d10184784c3d,h_b7a5b1d80795708d,True
h_6766d10184784c3d,h_f22cf42be43d1185,True
h_6766d10184784c3d,h_243030ce03f4bbcc,True
h_6766d10184784c3d,h_b5d10886e44d3ca0,True
h_6766d10184784c3d,h_4390fc60eee3b48f,True
h_6766d10184784c3d,h_d7f050726a88cca7,True
h_93ced938e855f50c,h_26fd27e21618bfa7,True
h_93ced938e855f50c,h_60d02a483863750b,True
h_93ced938e855f50c,h_b96bff42d470157a,True
h_93ced938e855f50c,h_f07bfe5ed4fd6666,True
h_e0cef060477eddb6,h_368c2e5118a29269,True
h_0306d12b3af54920,h_6b0ca78c0b305d69,True
h_d6dcbf977f3ad96d,h_7c086eab8e77ab1b,True
h_b9cc58a31d8e18f6,h_89134d989146d5b4,True
h_b9cc58a31d8e18f6,h_151b147bec147238,True
h_b9cc58a31d8e18f6,h_e3ebc7e046e20b77,True
h_3798fe03b6325806,h_ac715e48b00a040b,True
h_0a84731d9c9f375b,h_4d6fb3ef619508e5,True
h_0a84731d9c9f375b,h_9c9583d7332bf844,True
h_563fae909642c6f5,h_0655fef69ab676b4,True
h_563fae909642c6f5,h_96dc5532a3c26991,True
h_563fae909642c6f5,h_6359d813cd164de8,True
h_563fae909642c6f5,h_26fe5a9589cbb624,True
h_563fae909642c6f5,h_7d21b0985a393f1e,True
h_91b53a8010f26961,h_5f583c78715aa56c,True
h_91b53a8010f26961,h_456f5faee255a08c,True
h_91b53a8010f26961,h_30ec33de981db168,True
h_91b53a8010f26961,h_0ccb88bad1804162,True
h_c4998a678d35af3c,h_5b658652aea25117,True
h_c4998a678d35af3c,h_978381c233fa0f52,True
h_c4998a678d35af3c,h_835291680006f657,True
h_b24c367420a1a94c,h_2c786cb7a1af73af,True
h_b24c367420a1a94c,h_750ba86ae8d3a338,True
h_41179dbea626d479,h_1bfc2057920c7449,True
h_41179dbea626d479,h_fe6acea560eedcba,True
h_41179dbea626d479,h_e5258429600e7634,True
h_9e2e0be5a663c17f,h_c366e0ca5678d252,True
h_9e2e0be5a663c17f,h_40fd64272ab7986a,True
h_9e2e0be5a663c17f,h_3579e45d2b56e544,True
h_9e2e0be5a663c17f,h_966a3d68ab34fbc2,True
h_9e2e0be5a663c17f,h_9d8b3a95e7a22e8d,True
h_6ea8518f954d2aae,h_786d959474067c7b,True
h_6ea8518f954d2aae,h_aa800bfb3295889b,True
h_6ea8518f954d2aae,h_4633771bf5c85b3f,True
h_ac9ee62b6f06f803,h_b1db64adec0094d8,True
h_ac9ee62b6f06f803,h_73fdff5cd7b8c005,True
h_ac9ee62b6f06f803,h_6c6d04e32b656026,True
h_ac9ee62b6f06f803,h_6de56cda1635ff7e,True
h_021614be9955be9e,h_f2ec46e289e670af,True
h_021614be9955be9e,h_42400c87b23e4deb,True
h_021614be9955be9e,h_7a0bda78b564dbcf,True
h_021614be9955be9e,h_bd5a67d56981ae32,True
h_021614be9955be9e,h_addee5404773dc60,True
h_8d5ab639cef42d63,h_835164e23fdcea2e,True
h_8d5ab639cef42d63,h_ea83d21d2ade880d,True
h_8d5ab639cef42d63,h_952143415acccc46,True
h_8d5ab639cef42d63,h_50d1543e41eed3d9,True
h_8d5ab639cef42d63,h_3d41ff4025e5120c,True
h_9a94f6a1f0e6bf25,h_3573225ee34daa84,True
h_9a94f6a1f0e6bf25,h_c1cabccd2e32aed5,True
h_9a94f6a1f0e6bf25,h_f9751af4c3b85a4a,True
h_9a94f6a1f0e6bf25,h_0ccb88bad1804162,True
h_4df543724df9e9e1,h_3476af17f1cd579c,True
h_8ec55afb0b3688d7,h_d289248c31bd5cf1,True
h_8ec55afb0b3688d7,h_efc1ce9279624953,True
h_d79788dfe9729247,h_af9cf54e6578c730,True
h_d79788dfe9729247,h_f1c99ca5a106a801,True
h_d79788dfe9729247,h_16933d786c25270a,True
h_893b41c2ff393f8f,h_d90737f73b71dc76,True
h_893b41c2ff393f8f,h_d17e0e4a135dbafb,True
h_893b41c2ff393f8f,h_a91fb57ccc6e6497,True
h_893b41c2ff393f8f,h_62d0731f19c695ce,True
h_893b41c2ff393f8f,h_75109863d1bc9f0d,True
h_893b41c2ff393f8f,h_5e25b506e62e0735,True
h_e2fde3be494ddaf5,h_160c755172e2b243,True
h_e2fde3be494ddaf5,h_b3df93aa8ef663f6,True
h_e2fde3be494ddaf5,h_09e9b4e956fdfb66,True
h_e2fde3be494ddaf5,h_3466d6721827400b,True
h_e2fde3be494ddaf5,h_0ec4e80c7dbddd02,True
h_96c0a24fe612e67c,h_8ac700ba9f5a6196,True
h_96c0a24fe612e67c,h_2ff66e3bdbc15ac2,True
h_96c0a24fe612e67c,h_3db6e13b528558af,True
h_96c0a24fe612e67c,h_041faa1616f172c0,True
h_0447ff1e20811c1c,h_48ea0345d9e87a01,True
h_0447ff1e20811c1c,h_23fce6ab5eeec3d3,True
h_085a74f610e725c9,h_ad53aa773214ef81,True
h_f0cbd354c935e74a,h_19da8a921691edfc,True
h_a62519d8105562d4,h_974ef067c133e08c,True
h_a62519d8105562d4,h_800aa918155562dd,True
h_0e17180169a58461,h_a8153d0ce304e3e7,True
h_0e17180169a58461,h_628dd816e3dc1347,True
h_398e6ce1bad671e5,h_76f327442a224481,True
h_edcd3660ce75978f,h_2e3818775d44a958,True
h_edcd3660ce75978f,h_94cfec66042ef825,True
h_edcd3660ce75978f,h_76ce0b0a914914af,True
h_46847b652a1f9ced,h_2aacdcfb35cc4565,True
h_46847b652a1f9ced,h_4e82a9b8dc2ffabd,True
h_845043ca76aff3e9,h_af3dbd2af26d0916,True
h_19e2bf612f860a0f,h_fe078f28025c4a4c,True
h_7d128cce91b8981e,h_29f11fc3825312c1,True
h_62360070902a8b05,h_ad53aa773214ef81,True
h_1c9fa8ebc689c9d0,h_2d36b3b62e3583f2,True
h_1c9fa8ebc689c9d0,h_9805841a5132c6e7,True
h_1c9fa8ebc689c9d0,h_6a85685243ff1618,True
h_1c9fa8ebc689c9d0,h_07636f2411b577ec,True
h_1c9fa8ebc689c9d0,h_d6ae2ae1d5e5fc0c,True
h_1c9fa8ebc689c9d0,h_44c683e4be8111dc,True
h_1c9fa8ebc689c9d0,h_5afb54cd907d6005,True
h_20c782809efea749,h_7cba52bc66d0e2cf,True
h_20c782809efea749,h_62915b012fc4997d,True
h_20c782809efea749,h_b1cab7e5e96293c3,True
h_20c782809efea749,h_6a7c127686c62505,True
h_05cdb0a7b431a016,h_f9751af4c3b85a4a,True
h_05cdb0a7b431a016,h_dcc9959a6f4753a4,True
h_8e44f9c054a263eb,h_4eee78e21eb5d47e,True
h_8e44f9c054a263eb,h_eb515ed130476085,True
h_8e44f9c054a263eb,h_81cb3f43703003c1,True
h_75fdda66ae83cf1a,h_9df79e1a4da0fdde,True
h_75fdda66ae83cf1a,h_613c0067a8031afc,True
h_2793b9d8fd42c949,h_fc27d8b159be329e,True
h_2793b9d8fd42c949,h_40da98c203daf3b2,True
h_19fe3438fa3efa26,h_06d11fb556942e96,True
h_19fe3438fa3efa26,h_c28dc3f5db4d343b,True
h_19fe3438fa3efa26,h_b43cd9ed5b231823,True
h_19fe3438fa3efa26,h_79acbe9311b83cf5,True
h_19fe3438fa3efa26,h_a86d5e8e8e27ab2b,True
h_64df7ab607fe8acf,h_cf2160fb2d84f405,True
h_64df7ab607fe8acf,h_16f710e5ffcbd510,True
h_64df7ab607fe8acf,h_7d21b0985a393f1e,True
h_64df7ab607fe8acf,h_01d9ea25737f9f7c,True
h_64df7ab607fe8acf,h_7aa0f0e8112203d3,True
h_1234ad3e48dcc00a,h_6ed5a3b63c447818,True
h_1234ad3e48dcc00a,h_7849fe5e0677d59f,True
h_1234ad3e48dcc00a,h_9fd466e1049c95d8,True
h_1234ad3e48dcc00a,h_cdb1cb7315608aa7,True
h_1234ad3e48dcc00a,h_e49a17d7c26969e1,True
h_1234ad3e48dcc00a,h_e2c12147ec222d44,True
h_1234ad3e48dcc00a,h_3c5ca06d57da1f08,True
h_60efa1a773c82efb,h_a515a05c920c947e,True
h_60efa1a773c82efb,h_52c07b4c321f6d28,True
h_60efa1a773c82efb,h_9388d090dfdb4b81,True
h_51dbc877176944da,h_dd55d4bbb85d0912,True
h_51dbc877176944da,h_29dccec930c161ee,True
h_76d7785d81f9d4d6,h_4f0d9dcf1da662f6,True
h_76d7785d81f9d4d6,h_7d885ed59c90f052,True
h_b5e78128ae0ccf83,h_4ed75bd97b621c7a,True
h_b5e78128ae0ccf83,h_ca9d2756c0ba9cdb,True
h_b5e78128ae0ccf83,h_ba858910f0da22f5,True
h_b5e78128ae0ccf83,h_2ab664b5a8a3a87b,True
h_b5e78128ae0ccf83,h_5b2f40dc6b905433,True
h_759c2474bcec4e69,h_692ed1e9420757c2,True
h_759c2474bcec4e69,h_3f6f81b0918811b5,True
h_719c5c51f4baac58,h_e1b1bc03f434f99b,True
h_719c5c51f4baac58,h_05ef1c977ee4424c,True
h_adb1009d8f2be027,h_9ab2ba1216fc55a6,True
h_adb1009d8f2be027,h_7c220fb19bd2bb9b,True
h_4fc5ac2fb34513ab,h_54962786464c5333,True
h_f86fddd860267e68,h_98f642226e9df595,True
h_f86fddd860267e68,h_a81d929f7b95b291,True
h_f86fddd860267e68,h_af8276191c936543,True
h_f86fddd860267e68,h_a0f7dba78ae1b139,True
h_9befda9ad38e976f,h_d0f8ff011c0217cb,True
h_9befda9ad38e976f,h_f9751af4c3b85a4a,True
h_9befda9ad38e976f,h_e19554d21fc9750b,True
h_1f68c38ac889e5dc,h_2a2c92642720c398,True
h_1f68c38ac889e5dc,h_e80d12368a77b352,True
h_1f68c38ac889e5dc,h_32108e4f14a51886,True
h_1f68c38ac889e5dc,h_6e30b5cba5b3d8b6,True
h_0d7ea3f87a05316e,h_19091e3ad617e90e,True
h_631aad599bfcbf03,h_102f8feae9b5d131,True
h_631aad599bfcbf03,h_4f514b5359267762,True
h_7ad82915249dfe9e,h_ef60db25398ef7e3,True
h_7ad82915249dfe9e,h_6359d813cd164de8,True
h_7ad82915249dfe9e,h_9b35d2b281e5d84a,True
h_7ad82915249dfe9e,h_e0eec78c9148136f,True
h_b1751c07cfbea14c,h_e187a9b2cc184bc4,True
h_b1751c07cfbea14c,h_312bf802b161d364,True
h_b1751c07cfbea14c,h_b131d44723c9bfc8,True
h_b1751c07cfbea14c,h_36779ae437ddd426,True
h_b1751c07cfbea14c,h_40fdd61042eb8a8c,True
h_b1751c07cfbea14c,h_260baed69178aca4,True
h_b1751c07cfbea14c,h_ef99036a063e1366,True
h_4e1e7f2b3b3b56e9,h_341ce1c323d06e79,True
h_4e1e7f2b3b3b56e9,h_f43640fbd96cc032,True
h_4e1e7f2b3b3b56e9,h_c6d79c483eedcb4c,True
h_5c7253f7cacf6554,h_4254732a8530962f,True
h_5c7253f7cacf6554,h_d8a1af1be891c304,True
h_5c7253f7cacf6554,h_c1cabccd2e32aed5,True
h_5c7253f7cacf6554,h_ad53aa773214ef81,True
h_5c7253f7cacf6554,h_d3f7fe7bb2795999,True
h_99dba1861fd444da,h_68275441f70f7ee1,True
h_3bac2a1e915e2cf6,h_80096a3214e634db,True
h_d39befcf4ab167fc,h_82a67a0894c88bc2,True
h_d39befcf4ab167fc,h_b77b687d9859e866,True
h_d39befcf4ab167fc,h_ecd44cbe3adbdeb5,True
h_d39befcf4ab167fc,h_f9f5d29ef782fc03,True
h_d39befcf4ab167fc,h_47de7f6c8ffdef41,True
h_d39befcf4ab167fc,h_736b22f31843476e,True
h_d39befcf4ab167fc,h_eb2536d0fde8d2e8,True
h_d39befcf4ab167fc,h_c24136684c3a5591,True
h_d39befcf4ab167fc,h_b896f24380c8742d,True
h_e292ca03ea014548,h_b0df1b61554c59bc,True
h_e292ca03ea014548,h_d9d3b5b098dda2e5,True
h_e292ca03ea014548,h_2aab37ae6d1ee404,True
