source_id,qid_hash,doc_id_hash,source_file,row_hash,usage_scope
human_gold_000011,h_21845abacd62a0c3,h_fc27d8b159be329e,data\annotations\formal300\evidence_annotation_a.csv,7b3e3bd74b5c652bdd601a2839846a8772198b78a78e691891a21c9f089f6d59,injector_and_evaluator_only
human_gold_000012,h_563fae909642c6f5,h_6359d813cd164de8,data\annotations\formal300\evidence_annotation_a.csv,2b9c9df53591794429a5096b85441b0807e2bee89a599ce570f55c69f83d8810,injector_and_evaluator_only
human_gold_000013,h_563fae909642c6f5,h_26fe5a9589cbb624,data\annotations\formal300\evidence_annotation_a.csv,ce508507879f14fee61e4bb175fa5e603710726e3f9a8196dbd8db3c1248de07,injector_and_evaluator_only
human_gold_000014,h_563fae909642c6f5,h_0655fef69ab676b4,data\annotations\formal300\evidence_annotation_a.csv,3680b6eae45fd832dde34900a88416c3ab9ab6a0b720d9809be543ac50f6cea5,injector_and_evaluator_only
human_gold_000015,h_563fae909642c6f5,h_7d21b0985a393f1e,data\annotations\formal300\evidence_annotation_a.csv,b0f4487acf64eb7be99ccce8f8ba4eb7c044a16ebc06a9096624b99af08502af,injector_and_evaluator_only
human_gold_000016,h_563fae909642c6f5,h_96dc5532a3c26991,data\annotations\formal300\evidence_annotation_a.csv,86d7ac087b349914cc1aef579275a1d2edebfe08fb8ad44f29793319c7983f99,injector_and_evaluator_only
human_gold_000017,h_0731672f8ba38c22,h_27d462dd65a9d718,data\annotations\formal300\evidence_annotation_a.csv,78d62be3e289a0066d36146db1c6d51684e96ee64b735ca7dc772e38263c72cd,injector_and_evaluator_only
human_gold_000018,h_0731672f8ba38c22,h_bec129f1a8e14bc9,data\annotations\formal300\evidence_annotation_a.csv,38cb19020aa78db27ff5d6643bf988bf60486ea54408bae8eb575cd009a88d1a,injector_and_evaluator_only
human_gold_000019,h_0731672f8ba38c22,h_ad678ee6556eaf79,data\annotations\formal300\evidence_annotation_a.csv,dad8b9406d9a91c8f08dc881aca4530b9239ba042e9c3dab7a5444c14897cece,injector_and_evaluator_only
human_gold_000020,h_0731672f8ba38c22,h_4ba470305843f5c8,data\annotations\formal300\evidence_annotation_a.csv,0dcf6c8eba347bc529ee8a15ff0d6a6bb410b753944733878c6a139570f6a8b5,injector_and_evaluator_only
human_gold_000021,h_0090dd284c02023a,h_e3ebc7e046e20b77,data\annotations\formal300\evidence_annotation_a.csv,20b47554c534541e55914a581fc000fbdecba6a6db103f7643bcea8f69b9dc5b,injector_and_evaluator_only
human_gold_000022,h_0090dd284c02023a,h_c53113593ae7c058,data\annotations\formal300\evidence_annotation_a.csv,7bd8a27aa767aa05bdba3280b86d98f06de8e5da3d9cab45bc93cce930679538,injector_and_evaluator_only
human_gold_000023,h_0090dd284c02023a,h_6b7b3b63a6efdad9,data\annotations\formal300\evidence_annotation_a.csv,ab90f848d245fb5d17c0996747d44881176a0f29f21feeb59b3ba42b87c5ed28,injector_and_evaluator_only
human_gold_000024,h_0090dd284c02023a,h_08a45ef6f528a848,data\annotations\formal300\evidence_annotation_a.csv,2e054fbd3561221612fcb39233929fce3d23e80aa7d50fb673869788a10f4820,injector_and_evaluator_only
human_gold_000025,h_0090dd284c02023a,h_907c68f60c4354ef,data\annotations\formal300\evidence_annotation_a.csv,d03dafca9c5e785a7ccb4a968b5cdfefec409ee3648153750ed60af935027335,injector_and_evaluator_only
human_gold_000026,h_0090dd284c02023a,h_c0c70cb0b1d13ceb,data\annotations\formal300\evidence_annotation_a.csv,43d39a1f2baf44a482ad21ece2312ab5f50cbc82f525a53bd41fd852b93ebdd9,injector_and_evaluator_only
human_gold_000027,h_8d5ab639cef42d63,h_835164e23fdcea2e,data\annotations\formal300\evidence_annotation_a.csv,79da91a533eaf7f7cc732b21a475b5eaa9625efb6e4299d0c706204ee56bbe8b,injector_and_evaluator_only
human_gold_000028,h_8d5ab639cef42d63,h_ea83d21d2ade880d,data\annotations\formal300\evidence_annotation_a.csv,ae1f6afdd6c58d79939962d02c61854da8c133d19c4bb8c30a2fe08b74e3e4d7,injector_and_evaluator_only
human_gold_000029,h_8d5ab639cef42d63,h_3d41ff4025e5120c,data\annotations\formal300\evidence_annotation_a.csv,5cc53eac49fd8c99ffdbcdf58d590b9d6a20f3fe91f078548c4f381cb4d883d4,injector_and_evaluator_only
human_gold_000030,h_8d5ab639cef42d63,h_952143415acccc46,data\annotations\formal300\evidence_annotation_a.csv,29444c9e1bc92d6197a44762cae7d941f5e8eb6e4da1e337c384b1c1a141a812,injector_and_evaluator_only
human_gold_000031,h_8d5ab639cef42d63,h_50d1543e41eed3d9,data\annotations\formal300\evidence_annotation_a.csv,a0953c40888582aad6f57e2fcc5440be96f94e4522cb50bd8cf9eadb9334285e,injector_and_evaluator_only
human_gold_000032,h_c0e319b715d02b78,h_b418bca7f4b6783a,data\annotations\formal300\evidence_annotation_a.csv,f00864fce8697c130f50315f7bae1ac8eb8533161b57227f1b5a8b01f29bb4ec,injector_and_evaluator_only
human_gold_000033,h_c0e319b715d02b78,h_0ddc7e377ff8858b,data\annotations\formal300\evidence_annotation_a.csv,ce9abc163368c92edeb0f043c4015721334802f593497c820d2198dba978d9f6,injector_and_evaluator_only
human_gold_000034,h_c0e319b715d02b78,h_adf897f803e13cc7,data\annotations\formal300\evidence_annotation_a.csv,c60a75bb1a3e581017ce9d1fd476a6e399c33cf64578277c420bff5980c83aca,injector_and_evaluator_only
human_gold_000035,h_c0e319b715d02b78,h_d61ada1317e53418,data\annotations\formal300\evidence_annotation_a.csv,3ffa5eb8490bd2537b886af3bfd8d6d0d673462fa440ea4a79a9ec0bfd23914b,injector_and_evaluator_only
human_gold_000036,h_c0e319b715d02b78,h_a4e3b1e1a1b0b316,data\annotations\formal300\evidence_annotation_a.csv,6183131e9006c637e2fcb43bcac7f81902a885a41d2d5a6dfe3841a965a9443f,injector_and_evaluator_only
human_gold_000037,h_f1f5f9c0f44f145b,h_1048101064e0ae6a,data\annotations\formal300\evidence_annotation_a.csv,33ec4b7303829264a482175e9d5adc6dec86144e5af4f6f1204a3870c35dbd8e,injector_and_evaluator_only
human_gold_000038,h_719c5c51f4baac58,h_e1b1bc03f434f99b,data\annotations\formal300\evidence_annotation_a.csv,a00ac25af00c6d5fe95df84c27aab31f63994ba715adb85ecee6b89b685adbea,injector_and_evaluator_only
human_gold_000039,h_719c5c51f4baac58,h_05ef1c977ee4424c,data\annotations\formal300\evidence_annotation_a.csv,f0aef5588c7590e825d8d741f1db3fa7c54cce99681915f43c2b4934b6650ee3,injector_and_evaluator_only
human_gold_000040,h_f5c59643f1640f52,h_a4ac893167f31e13,data\annotations\formal300\evidence_annotation_a.csv,e209afed4a4f88bd147b9b700ada34b5da1aaf35b64637893537e6462f0934e1,injector_and_evaluator_only
human_gold_000041,h_f5c59643f1640f52,h_62915b012fc4997d,data\annotations\formal300\evidence_annotation_a.csv,ef7a49c1412b8c64c1721f3b1a6e17dd5e7ff8f4caf3d4c93c8d4978427739c1,injector_and_evaluator_only
human_gold_000042,h_845043ca76aff3e9,h_af3dbd2af26d0916,data\annotations\formal300\evidence_annotation_a.csv,d0be508cd19a77ba1b09140ec38b7eefa7fc7e8f86c90715d0c85138b529644f,injector_and_evaluator_only
human_gold_000043,h_1c9fa8ebc689c9d0,h_07636f2411b577ec,data\annotations\formal300\evidence_annotation_a.csv,ceea67537e6c166035718e2cfef24074d83e109b266eb601a8279691c65e4601,injector_and_evaluator_only
human_gold_000044,h_1c9fa8ebc689c9d0,h_6a85685243ff1618,data\annotations\formal300\evidence_annotation_a.csv,0dd323d41f783f5cfe82807289d48bc334e1d514006435649db1731fc10efe96,injector_and_evaluator_only
human_gold_000045,h_1c9fa8ebc689c9d0,h_44c683e4be8111dc,data\annotations\formal300\evidence_annotation_a.csv,dfb39cf669c558f4c7c435e67126714a6e4c35835ae9aada563400c587788ecf,injector_and_evaluator_only
human_gold_000046,h_1c9fa8ebc689c9d0,h_5afb54cd907d6005,data\annotations\formal300\evidence_annotation_a.csv,e62b7a2e226205236e1d89226dfaec924d487dde1ad8cb4f976295b6e437e6c2,injector_and_evaluator_only
human_gold_000047,h_1c9fa8ebc689c9d0,h_d6ae2ae1d5e5fc0c,data\annotations\formal300\evidence_annotation_a.csv,9ffb1e811141f620cdf6b6475a3c2a5276493691b606196efbbff624f5a152c0,injector_and_evaluator_only
human_gold_000048,h_1c9fa8ebc689c9d0,h_2d36b3b62e3583f2,data\annotations\formal300\evidence_annotation_a.csv,4a785d82b3f2e0a982c9c772db013da2d62003be019f3a728735f2839ec2b20d,injector_and_evaluator_only
human_gold_000049,h_1c9fa8ebc689c9d0,h_9805841a5132c6e7,data\annotations\formal300\evidence_annotation_a.csv,6184e88e386ac57718da9f7a29b6b4833abc7deb27de396cb07e348bd6e2546d,injector_and_evaluator_only
human_gold_000050,h_7ad82915249dfe9e,h_9b35d2b281e5d84a,data\annotations\formal300\evidence_annotation_a.csv,582ae654357e7fe0addd36de1b78cbd938c9c324fba0decbcc962ecf0bf1d1a8,injector_and_evaluator_only
human_gold_000051,h_7ad82915249dfe9e,h_6359d813cd164de8,data\annotations\formal300\evidence_annotation_a.csv,544159f8e33c371566e98f76bb957573870796ffe867d57485e691cb73f404ca,injector_and_evaluator_only
human_gold_000052,h_7ad82915249dfe9e,h_e0eec78c9148136f,data\annotations\formal300\evidence_annotation_a.csv,7976823c972d70507cb44678ad7cd6354ef7b0cc42c1f436464c533380dc4b1b,injector_and_evaluator_only
human_gold_000053,h_7ad82915249dfe9e,h_ef60db25398ef7e3,data\annotations\formal300\evidence_annotation_a.csv,b2d813118f62ee63936923eec18574906116a9707abc8257a946cbc09514aa05,injector_and_evaluator_only
human_gold_000054,h_085a74f610e725c9,h_ad53aa773214ef81,data\annotations\formal300\evidence_annotation_a.csv,5371038c71ac577f0239c4f56b0c7b8a3b0d549dcfaa35afceab7ac79e5f733b,injector_and_evaluator_only
human_gold_000055,h_b5e78128ae0ccf83,h_2ab664b5a8a3a87b,data\annotations\formal300\evidence_annotation_a.csv,20f25436f16d728799a7e49e24db8fe64edcc70a183809236cbfa105cb286ee4,injector_and_evaluator_only
human_gold_000056,h_b5e78128ae0ccf83,h_ba858910f0da22f5,data\annotations\formal300\evidence_annotation_a.csv,f8448d70e7ba3ce66cf6908e13ed1d6e20dd9965570168044ccb9574346e10bc,injector_and_evaluator_only
human_gold_000057,h_b5e78128ae0ccf83,h_ca9d2756c0ba9cdb,data\annotations\formal300\evidence_annotation_a.csv,2a9f809f945e16fd6ee9d8a1ff020483b1bcc6782593b0f6cc380753fd7146c4,injector_and_evaluator_only
human_gold_000058,h_b5e78128ae0ccf83,h_5b2f40dc6b905433,data\annotations\formal300\evidence_annotation_a.csv,a53d030f4b09952534cd7eb97e3e4405ab5c92dbec94f9c75a3d702769eb62c8,injector_and_evaluator_only
human_gold_000059,h_b5e78128ae0ccf83,h_4ed75bd97b621c7a,data\annotations\formal300\evidence_annotation_a.csv,3625f791e18ee6152ec137ac9039d3bd0d61f1aee575dfdffce2e9d1e55505ff,injector_and_evaluator_only
human_gold_000060,h_9e14977944920e9e,h_7f60a83e267126dd,data\annotations\formal300\evidence_annotation_a.csv,4d6b27fd5be26abf3ddec53736d79532c0a680c694f8291b94ac78eb6d65033a,injector_and_evaluator_only
human_gold_000061,h_9e14977944920e9e,h_a01dca53244e19ee,data\annotations\formal300\evidence_annotation_a.csv,50e13127a41b45e2169995032170c0d4d664039a3b44730de1e32cb3c6f80add,injector_and_evaluator_only
human_gold_000062,h_9e14977944920e9e,h_6acdd797b432fda0,data\annotations\formal300\evidence_annotation_a.csv,2a9e0aaea77b780fd3fdc324af3bff7f15d60073085bfa118383a8034e5ecee2,injector_and_evaluator_only
human_gold_000063,h_9e14977944920e9e,h_627b1063eebfb16e,data\annotations\formal300\evidence_annotation_a.csv,6cc73a3b343fff37ccccf56bbd0fe0f9ece07ff0e196d06dcc31649a6d54e484,injector_and_evaluator_only
human_gold_000064,h_eca58cdb96880d39,h_a8ea14917e53b06f,data\annotations\formal300\evidence_annotation_a.csv,dd703e8282f292c6bf139b71e0bf294cb5c35df2c0415deb5dd9d0a103a9e11e,injector_and_evaluator_only
human_gold_000065,h_eca58cdb96880d39,h_b5d2d4fa1ceb8758,data\annotations\formal300\evidence_annotation_a.csv,02ead09673d693ea326e33da803a40881afe4f2a9284ec771d00b9daed77d399,injector_and_evaluator_only
human_gold_000066,h_eca58cdb96880d39,h_1b210f4f532564ce,data\annotations\formal300\evidence_annotation_a.csv,55b634905d49260ab32cb81172b325dc791ff80cacd89efda59721ce0f921e35,injector_and_evaluator_only
human_gold_000067,h_eca58cdb96880d39,h_d107aa3868e21141,data\annotations\formal300\evidence_annotation_a.csv,011f0aebeb1cf2e97ecd268b274ee59762576b022bbb695a10e2e6ab1b8a1e5c,injector_and_evaluator_only
human_gold_000068,h_eca58cdb96880d39,h_3579e45d2b56e544,data\annotations\formal300\evidence_annotation_a.csv,8e2a6d1dcc3766f31f23a86aefa56df0f84fa31724c7cf41dbadc969fb648f20,injector_and_evaluator_only
human_gold_000069,h_eca58cdb96880d39,h_835291680006f657,data\annotations\formal300\evidence_annotation_a.csv,887f0ea8c1da1783de548fae42984d4e349856cdf24dfb202cf469bc766abc8e,injector_and_evaluator_only
human_gold_000070,h_1ffcfbd1fc2931b5,h_08a45ef6f528a848,data\annotations\formal300\evidence_annotation_a.csv,ea27e9ccbd28dedc6ce95608b4c73e7e59c0c06b37e36f1dc7784651072adfa0,injector_and_evaluator_only
human_gold_000071,h_1ffcfbd1fc2931b5,h_e6a9dff68bc12a76,data\annotations\formal300\evidence_annotation_a.csv,381f6bec883dd23da08920c34e2aa535c1f0e44203d30a10a80055e6c68285c7,injector_and_evaluator_only
human_gold_000072,h_1ffcfbd1fc2931b5,h_6359d813cd164de8,data\annotations\formal300\evidence_annotation_a.csv,ae117520d1529592ec4d9184de7c5393fd9eedd8121a635dd0ef868fec6db334,injector_and_evaluator_only
human_gold_000073,h_1ffcfbd1fc2931b5,h_bbeecc85e1b82c28,data\annotations\formal300\evidence_annotation_a.csv,33a34ecc5c1736d251b8b661a529792f2fa9c54df20a84adcd509487866e1257,injector_and_evaluator_only
human_gold_000074,h_1ffcfbd1fc2931b5,h_fc27d8b159be329e,data\annotations\formal300\evidence_annotation_a.csv,46ef2f1e33b605f243072b5d97f9bd24c361161198d92ff2c40a3eaf0a34c98d,injector_and_evaluator_only
human_gold_000075,h_1ffcfbd1fc2931b5,h_a0151bcccaff16ac,data\annotations\formal300\evidence_annotation_a.csv,17dc9690b4c5090702e52274616fe45d9c31dd6c78eb1a5cfb4c0cef9a27ea7e,injector_and_evaluator_only
human_gold_000076,h_1ffcfbd1fc2931b5,h_b5d2d4fa1ceb8758,data\annotations\formal300\evidence_annotation_a.csv,6598c57f6c6789ab5bb87d986c9556be28119498333b4405346b5bfc89a75a54,injector_and_evaluator_only
human_gold_000077,h_fa786c4511a68302,h_0061696cc37f106a,data\annotations\formal300\evidence_annotation_a.csv,026a98295b3a1aa5819d8c08d21bc766b84a6df2628beefd1453b3d3ff1e2ea8,injector_and_evaluator_only
human_gold_000078,h_fa786c4511a68302,h_6ac4de5eacf1c3f9,data\annotations\formal300\evidence_annotation_a.csv,89cff40ddb88f2ebee898b5c9f751ffad8eed1c426edcc8cac6007b70b469e22,injector_and_evaluator_only
human_gold_000079,h_fa786c4511a68302,h_5b2aca68a7c5b039,data\annotations\formal300\evidence_annotation_a.csv,23b5d63796462542c0161975bf33909000ea49e7c676dd81f92470531a12ce72,injector_and_evaluator_only
human_gold_000080,h_bfbbfb23b7934435,h_dfe014366dcb5241,data\annotations\formal300\evidence_annotation_a.csv,c39e53a7a60d610afca8f8d9a43baaa20f4b3d66e48a1eb169cefda836542c66,injector_and_evaluator_only
human_gold_000081,h_bfbbfb23b7934435,h_aaddd9c3ab4f0ee8,data\annotations\formal300\evidence_annotation_a.csv,9da13d4aab31673671253b2db2f20e658681e5b613b60f41f977ebf1095b3501,injector_and_evaluator_only
human_gold_000082,h_bfbbfb23b7934435,h_3da36bac0b135387,data\annotations\formal300\evidence_annotation_a.csv,a541ec2e73956191ef8b75811a05bb20a66fe2b4223c45ab31245ab4144b4306,injector_and_evaluator_only
human_gold_000083,h_bfbbfb23b7934435,h_f6ff4a34d811a96c,data\annotations\formal300\evidence_annotation_a.csv,765405bff8f56df313ceb91ec5e2ab7705bf0955e17abf6a2e951a97463714ff,injector_and_evaluator_only
human_gold_000084,h_bfbbfb23b7934435,h_ddfc70dbce8447ba,data\annotations\formal300\evidence_annotation_a.csv,7aa65b4d8228aa5bbf02339ad24c2ae7629ae415992d8ecb5d70549bd655d5cb,injector_and_evaluator_only
human_gold_000085,h_ddfdbe12e25a9300,h_4540877fc7a4edbc,data\annotations\formal300\evidence_annotation_a.csv,2befca79eb2aaf2624def571ef412ce1871006237cb5d8e8d082dfc92c691a5d,injector_and_evaluator_only
human_gold_000086,h_ddfdbe12e25a9300,h_d31afe80f2f58a35,data\annotations\formal300\evidence_annotation_a.csv,e8034d8aca0780c1dc022686840c871e20cda2b8094df5a3b8fa78ab96684cae,injector_and_evaluator_only
human_gold_000087,h_62360070902a8b05,h_ad53aa773214ef81,data\annotations\formal300\evidence_annotation_a.csv,f4b2c34fbae3acd74a822e97424e6836b4487a5aa294b2b09e5136fd2f54983c,injector_and_evaluator_only
human_gold_000088,h_33f1ef500ea1ca06,h_08a45ef6f528a848,data\annotations\formal300\evidence_annotation_a.csv,6755c987aad53d4e92893174513e12f5d757abc0cd8b7b0d8eb66eccf214dad4,injector_and_evaluator_only
human_gold_000089,h_33f1ef500ea1ca06,h_d8648b81b7dba12f,data\annotations\formal300\evidence_annotation_a.csv,5ba4ab3923361ae601e1fd9408831e8abbcb3f8dc7d42037de0626919e6d44f6,injector_and_evaluator_only
human_gold_000090,h_33f1ef500ea1ca06,h_f71f4c12de1b012e,data\annotations\formal300\evidence_annotation_a.csv,8311ff2544278510906f5bfa7b8481d9d607cbc13d5e6af69098e2f34511916a,injector_and_evaluator_only
human_gold_000091,h_33f1ef500ea1ca06,h_fc27d8b159be329e,data\annotations\formal300\evidence_annotation_a.csv,9284de853860dc6a91502ca85262d8c62de0f2bb4431d9794f00dfe2932c10f1,injector_and_evaluator_only
human_gold_000092,h_33f1ef500ea1ca06,h_0b507009863037ed,data\annotations\formal300\evidence_annotation_a.csv,bdda9283905728a4b3605697f2edfff8f25e2f3904ee829d49b0ccbabb92c47e,injector_and_evaluator_only
human_gold_000093,h_33f1ef500ea1ca06,h_5c8823a75fbf4c64,data\annotations\formal300\evidence_annotation_a.csv,5b8ebacde2792ac180ab9260afb5bf6966a45904411784abaf58cc85d96919c5,injector_and_evaluator_only
human_gold_000094,h_a4c6cc2d0344dbf8,h_160d11939601a5d7,data\annotations\formal300\evidence_annotation_a.csv,7a2fd4af8afa41ee45785abd376ba8de37862b475d6f45c99a7df83617810528,injector_and_evaluator_only
human_gold_000095,h_a4c6cc2d0344dbf8,h_8df4fa1ff350237b,data\annotations\formal300\evidence_annotation_a.csv,b5bd66507ce746d0c7977920e60e212b954d97403b87967b7cefb01d5ecc0d18,injector_and_evaluator_only
human_gold_000096,h_09d7a1a61baf6400,h_ba64f495e4a7270d,data\annotations\formal300\evidence_annotation_a.csv,934570f5f406b69e09b6db0761f4ad8a367061c319e674d0503a997468cbe30b,injector_and_evaluator_only
human_gold_000097,h_11ebeb1cd1844431,h_a6b2500c5887f804,data\annotations\formal300\evidence_annotation_a.csv,b349881d3012de11db068da7311628649afc9c3f6482c5c97b4a9bcbd899b478,injector_and_evaluator_only
human_gold_000098,h_11ebeb1cd1844431,h_7dcfb2f56b8df187,data\annotations\formal300\evidence_annotation_a.csv,4657166eb5ed804730f21b5048eae51789bfac461e2444145da9db177c0d0375,injector_and_evaluator_only
human_gold_000099,h_11ebeb1cd1844431,h_a01dca53244e19ee,data\annotations\formal300\evidence_annotation_a.csv,4745c361c7d3cfbdacb390b01d9cb15e11a9cbb884b3c55b0cb61af1aef07a60,injector_and_evaluator_only
human_gold_000100,h_11ebeb1cd1844431,h_5cd669c3cbd57b89,data\annotations\formal300\evidence_annotation_a.csv,e2833f66d5ad94cd99e0dd366e17ef92479f02d12aa101a2913a14f7c58761f5,injector_and_evaluator_only
human_gold_000101,h_64df7ab607fe8acf,h_7aa0f0e8112203d3,data\annotations\formal300\evidence_annotation_a.csv,f444b744a134ea410a1f68f99b9e41e8c9929d90ee8d05f2b58c6d742351cfb1,injector_and_evaluator_only
human_gold_000102,h_64df7ab607fe8acf,h_16f710e5ffcbd510,data\annotations\formal300\evidence_annotation_a.csv,0bfca70ac691a8228fa0aaffdd172395e948991afce7a106d025bab8fd3c1313,injector_and_evaluator_only
human_gold_000103,h_64df7ab607fe8acf,h_7d21b0985a393f1e,data\annotations\formal300\evidence_annotation_a.csv,a31c1d5af6f4733d380700bff8fbb5207f7a4cf82b9b52ea6ad98a9a2ddb5dc9,injector_and_evaluator_only
human_gold_000104,h_64df7ab607fe8acf,h_cf2160fb2d84f405,data\annotations\formal300\evidence_annotation_a.csv,2cf2729c5412469cea0f6b8bfcd8f061d27b473a9af6c1ad876a3b2a691acd5f,injector_and_evaluator_only
human_gold_000105,h_64df7ab607fe8acf,h_01d9ea25737f9f7c,data\annotations\formal300\evidence_annotation_a.csv,c4804618908b29abebe07eacef0e153506330d044d257ef0b8c8b96fcaab5218,injector_and_evaluator_only
human_gold_000106,h_398e6ce1bad671e5,h_76f327442a224481,data\annotations\formal300\evidence_annotation_a.csv,ba865884f6447597631b08ad974ebf27b457c611baf7e3e0531f955553ac0eb8,injector_and_evaluator_only
human_gold_000107,h_f0cbd354c935e74a,h_19da8a921691edfc,data\annotations\formal300\evidence_annotation_a.csv,5ff49de0666403888d4f70673241d655d763113a2c5845f8c274e7e8f37df3b6,injector_and_evaluator_only
human_gold_000108,h_1f68c38ac889e5dc,h_2a2c92642720c398,data\annotations\formal300\evidence_annotation_a.csv,7be2d9c2e80610d4c973f4abb7d51d6a7449f67ad772679de73acf33ac654ea6,injector_and_evaluator_only
human_gold_000109,h_1f68c38ac889e5dc,h_32108e4f14a51886,data\annotations\formal300\evidence_annotation_a.csv,9817440e19eff0b9ebca34785703d1537b6eb3d1cc24fb2896fcdbf6cf6c143c,injector_and_evaluator_only
human_gold_000110,h_1f68c38ac889e5dc,h_e80d12368a77b352,data\annotations\formal300\evidence_annotation_a.csv,8212cfcc9f28471518a379541400b8e2d16d5cbce2715295abc38bcddb74fb86,injector_and_evaluator_only
human_gold_000111,h_1f68c38ac889e5dc,h_6e30b5cba5b3d8b6,data\annotations\formal300\evidence_annotation_a.csv,3ec54bb3499996be81b05e6be93e2ee8b61aa3cae16206eb664973b7930d9914,injector_and_evaluator_only
human_gold_000112,h_6766d10184784c3d,h_f22cf42be43d1185,data\annotations\formal300\evidence_annotation_a.csv,ae9f31f6e4e5e7f563a0fcbc54473114deae9f462c2b2f08c5a347df537fea12,injector_and_evaluator_only
human_gold_000113,h_6766d10184784c3d,h_9c876164e4d7ba09,data\annotations\formal300\evidence_annotation_a.csv,7cee83a6bde2d1097e360d7edbfa9c3338ba004b35b157c6166104412acf4bb1,injector_and_evaluator_only
human_gold_000114,h_6766d10184784c3d,h_243030ce03f4bbcc,data\annotations\formal300\evidence_annotation_a.csv,2cdcbcd49013d944c5b0ab5d4eae0ca11a2c6508bc871822bb501c073bd5f26f,injector_and_evaluator_only
human_gold_000115,h_6766d10184784c3d,h_4390fc60eee3b48f,data\annotations\formal300\evidence_annotation_a.csv,c4d6c7c333966b213bbfc4c08c15660b1d0c32e3486fa638dd7c146e538dac67,injector_and_evaluator_only
human_gold_000116,h_6766d10184784c3d,h_b5d10886e44d3ca0,data\annotations\formal300\evidence_annotation_a.csv,84f5b5f93a985309fefbd62198e35991fcd7c1f4746007aab3f4b04250705eda,injector_and_evaluator_only
human_gold_000117,h_6766d10184784c3d,h_b809a77fbe3f08dc,data\annotations\formal300\evidence_annotation_a.csv,02c79376665eca9d58b6337b5234a541c517a27f908284072593648e8515078e,injector_and_evaluator_only
human_gold_000118,h_6766d10184784c3d,h_b7a5b1d80795708d,data\annotations\formal300\evidence_annotation_a.csv,7e058a46a3dff3627406f7628057092133fa4cd05865dcd65c1ffd8f6a57dad3,injector_and_evaluator_only
human_gold_000119,h_6766d10184784c3d,h_d7f050726a88cca7,data\annotations\formal300\evidence_annotation_a.csv,40d611974604f751bf3965b8d51ddc2fa69d8064775a80195d91c5c156dee546,injector_and_evaluator_only
human_gold_000120,h_9befda9ad38e976f,h_f9751af4c3b85a4a,data\annotations\formal300\evidence_annotation_a.csv,83a6e6929216ff3f2a4e612c0ef9f4b5c5a95e7cfc437d8229561134d61c1890,injector_and_evaluator_only
human_gold_000121,h_9befda9ad38e976f,h_e19554d21fc9750b,data\annotations\formal300\evidence_annotation_a.csv,44424cc1d1b1444d7887c58348f2825c9453bfba128f1b0db4a472f41722ec3e,injector_and_evaluator_only
human_gold_000122,h_9befda9ad38e976f,h_d0f8ff011c0217cb,data\annotations\formal300\evidence_annotation_a.csv,61ea94140dcb151749f3a308bff70bbb44a2cb54a9db877a18f18c14e08ab216,injector_and_evaluator_only
human_gold_000123,h_34312358fa45770d,h_9df79e1a4da0fdde,data\annotations\formal300\evidence_annotation_a.csv,1725658b0d76542fa6ac738a815da0d16cd29cfab8c51384ec8e11e565398e7d,injector_and_evaluator_only
