case_id,kind,pattern_id,detector,detected,evidence
xN4_3,leak,N4,full_audit,True,full_audit_component=runtime_taint; taint reached deployment
xN4_3,class,N4,invariance_class,False,changed_qids=0
xclean_1,clean,Clean,keyword_static_baseline,True,keyword:gold
xclean_1,clean,Clean,ast_static_dataflow,False,
xclean_1,clean,Clean,schema_guard,False,
xclean_1,clean,Clean,runtime_taint,False,
xclean_1,clean,Clean,invariance,False,
xclean_1,clean,Clean,full_audit,False,
xclean_2,clean,Clean,keyword_static_baseline,True,keyword:gold
xclean_2,clean,Clean,ast_static_dataflow,False,
xclean_2,clean,Clean,schema_guard,False,
xclean_2,clean,Clean,runtime_taint,False,
xclean_2,clean,Clean,invariance,False,
xclean_2,clean,Clean,full_audit,False,
xclean_3,clean,Clean,keyword_static_baseline,True,keyword:gold
xclean_3,clean,Clean,ast_static_dataflow,False,
xclean_3,clean,Clean,schema_guard,False,
xclean_3,clean,Clean,runtime_taint,False,
xclean_3,clean,Clean,invariance,False,
xclean_3,clean,Clean,full_audit,False,
xclean_4,clean,Clean,keyword_static_baseline,True,keyword:gold
xclean_4,clean,Clean,ast_static_dataflow,False,
xclean_4,clean,Clean,schema_guard,False,
xclean_4,clean,Clean,runtime_taint,False,
xclean_4,clean,Clean,invariance,False,
xclean_4,clean,Clean,full_audit,False,
