case_id,kind,pattern_id,method,detector,detected
dense_N4_1,leak,N4,dense,ast_static_dataflow,True
dense_N4_1,leak,N4,dense,schema_guard,False
dense_N4_1,leak,N4,dense,runtime_taint,True
dense_N4_1,leak,N4,dense,invariance,False
dense_N4_1,leak,N4,dense,full_audit,True
dense_N4_1,class,N4,dense,invariance_class,False
dense_N4_2,leak,N4,dense,keyword_static_baseline,True
dense_N4_2,leak,N4,dense,ast_static_dataflow,True
dense_N4_2,leak,N4,dense,schema_guard,False
dense_N4_2,leak,N4,dense,runtime_taint,True
dense_N4_2,leak,N4,dense,invariance,False
dense_N4_2,leak,N4,dense,full_audit,True
dense_N4_2,class,N4,dense,invariance_class,False
dense_clean_1,clean,Clean,dense,keyword_static_baseline,True
dense_clean_1,clean,Clean,dense,ast_static_dataflow,False
dense_clean_1,clean,Clean,dense,schema_guard,False
dense_clean_1,clean,Clean,dense,runtime_taint,False
dense_clean_1,clean,Clean,dense,invariance,False
dense_clean_1,clean,Clean,dense,full_audit,False
dense_clean_2,clean,Clean,dense,keyword_static_baseline,True
dense_clean_2,clean,Clean,dense,ast_static_dataflow,False
dense_clean_2,clean,Clean,dense,schema_guard,False
dense_clean_2,clean,Clean,dense,runtime_taint,False
dense_clean_2,clean,Clean,dense,invariance,False
dense_clean_2,clean,Clean,dense,full_audit,False
bm25_N1_1,leak,N1,bm25,keyword_static_baseline,True
bm25_N1_1,leak,N1,bm25,ast_static_dataflow,True
bm25_N1_1,leak,N1,bm25,schema_guard,False
bm25_N1_1,leak,N1,bm25,runtime_taint,True
bm25_N1_1,leak,N1,bm25,invariance,False
bm25_N1_1,leak,N1,bm25,full_audit,True
bm25_N1_1,class,N1,bm25,invariance_class,False
bm25_N1_2,leak,N1,bm25,keyword_static_baseline,True
bm25_N1_2,leak,N1,bm25,ast_static_dataflow,True
bm25_N1_2,leak,N1,bm25,schema_guard,False
bm25_N1_2,leak,N1,bm25,runtime_taint,True
bm25_N1_2,leak,N1,bm25,invariance,False
bm25_N1_2,leak,N1,bm25,full_audit,True
bm25_N1_2,class,N1,bm25,invariance_class,False
bm25_N2_1,leak,N2,bm25,keyword_static_baseline,True
bm25_N2_1,leak,N2,bm25,ast_static_dataflow,True
bm25_N2_1,leak,N2,bm25,schema_guard,False
bm25_N2_1,leak,N2,bm25,runtime_taint,True
bm25_N2_1,leak,N2,bm25,invariance,False
bm25_N2_1,leak,N2,bm25,full_audit,True
bm25_N2_1,class,N2,bm25,invariance_class,False
bm25_N2_2,leak,N2,bm25,keyword_static_baseline,True
bm25_N2_2,leak,N2,bm25,ast_static_dataflow,True
bm25_N2_2,leak,N2,bm25,schema_guard,False
bm25_N2_2,leak,N2,bm25,runtime_taint,True
bm25_N2_2,leak,N2,bm25,invariance,False
bm25_N2_2,leak,N2,bm25,full_audit,True
bm25_N2_2,class,N2,bm25,invariance_class,False
bm25_N3_1,leak,N3,bm25,keyword_static_baseline,True
bm25_N3_1,leak,N3,bm25,ast_static_dataflow,True
bm25_N3_1,leak,N3,bm25,schema_guard,False
bm25_N3_1,leak,N3,bm25,runtime_taint,True
bm25_N3_1,leak,N3,bm25,invariance,False
bm25_N3_1,leak,N3,bm25,full_audit,True
bm25_N3_1,class,N3,bm25,invariance_class,False
bm25_N3_2,leak,N3,bm25,keyword_static_baseline,True
bm25_N3_2,leak,N3,bm25,ast_static_dataflow,True
bm25_N3_2,leak,N3,bm25,schema_guard,False
bm25_N3_2,leak,N3,bm25,runtime_taint,True
bm25_N3_2,leak,N3,bm25,invariance,False
bm25_N3_2,leak,N3,bm25,full_audit,True
bm25_N3_2,class,N3,bm25,invariance_class,False
bm25_N4_1,leak,N4,bm25,keyword_static_baseline,True
bm25_N4_1,leak,N4,bm25,ast_static_dataflow,True
bm25_N4_1,leak,N4,bm25,schema_guard,False
bm25_N4_1,leak,N4,bm25,runtime_taint,True
bm25_N4_1,leak,N4,bm25,invariance,False
bm25_N4_1,leak,N4,bm25,full_audit,True
bm25_N4_1,class,N4,bm25,invariance_class,False
bm25_N4_2,leak,N4,bm25,keyword_static_baseline,True
bm25_N4_2,leak,N4,bm25,ast_static_dataflow,True
bm25_N4_2,leak,N4,bm25,schema_guard,False
bm25_N4_2,leak,N4,bm25,runtime_taint,True
bm25_N4_2,leak,N4,bm25,invariance,False
bm25_N4_2,leak,N4,bm25,full_audit,True
bm25_N4_2,class,N4,bm25,invariance_class,False
bm25_clean_1,clean,Clean,bm25,keyword_static_baseline,True
bm25_clean_1,clean,Clean,bm25,ast_static_dataflow,False
bm25_clean_1,clean,Clean,bm25,schema_guard,False
bm25_clean_1,clean,Clean,bm25,runtime_taint,False
bm25_clean_1,clean,Clean,bm25,invariance,False
bm25_clean_1,clean,Clean,bm25,full_audit,False
bm25_clean_2,clean,Clean,bm25,keyword_static_baseline,True
bm25_clean_2,clean,Clean,bm25,ast_static_dataflow,False
bm25_clean_2,clean,Clean,bm25,schema_guard,False
bm25_clean_2,clean,Clean,bm25,runtime_taint,False
bm25_clean_2,clean,Clean,bm25,invariance,False
bm25_clean_2,clean,Clean,bm25,full_audit,False
