qid,condition,question_id,selected_doc_ids,demand_cov_5,ndcg_10,faithfulness,answer_relevance,demand_completeness,overall_utility,unsupported_claim,critical_risk_omission,retrieval_source_file,score_source_file
13001321,D3_TFIDF,A0010,"[""WMA_d076683383426471"", ""WMA_4087532f2385980e"", ""WMA_a11ad77c25b779e5"", ""WMA_a1c7ec04c9ebe522"", ""WMA_2123cf361a0d65b8""]",1.0,0.650821,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
13001321,D3_E2_ROBERTA,A0011,"[""WMA_d076683383426471"", ""WMA_4087532f2385980e"", ""WMA_a1c7ec04c9ebe522"", ""WMA_a11ad77c25b779e5"", ""WMA_2123cf361a0d65b8""]",1.0,0.650821,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
13618490,B0,A0012,"[""WMA_35eb5cf5e797768c"", ""WMA_8e62067844cfc901"", ""166149"", ""WMA_204c3a29a771cedb"", ""WMA_4d3b43bf2c6c91df""]",0.666667,0.648932,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
13618490,D0,A0013,"[""WMA_35eb5cf5e797768c"", ""WMA_8e62067844cfc901"", ""166149"", ""WMA_204c3a29a771cedb"", ""WMA_4d3b43bf2c6c91df""]",0.6666666666666666,0.6489315753318465,2.0,2.0,2.0,2.0,0.0,0.0,phase6b_r7/{split}_per_query.jsonl (D0),phase6b_r7/{split}_per_query.jsonl
13618490,D3_TFIDF,A0014,"[""166149"", ""WMA_35eb5cf5e797768c"", ""WMA_8e62067844cfc901"", ""WMA_204c3a29a771cedb"", ""WMA_da24be8f0a98cd78""]",0.666667,0.648932,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
13618490,D3_E2_ROBERTA,A0015,"[""WMA_c01ec4088211125e"", ""WMA_4d3b43bf2c6c91df"", ""WMA_35eb5cf5e797768c"", ""WMA_8e62067844cfc901"", ""166149""]",0.666667,0.648932,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
15075207,B0,A0016,"[""WMA_af78fd021b31e203"", ""WMA_5b51809c31bb1925"", ""WMA_60819358e104b2c0"", ""WMA_e223705b679df24d"", ""WMA_f1a53e1689cdd303""]",1.0,0.648932,2.0,2.0,1.0,1.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
15075207,D0,A0017,"[""WMA_af78fd021b31e203"", ""WMA_486d568e3373ef85"", ""WMA_5b51809c31bb1925"", ""WMA_f1a53e1689cdd303"", ""WMA_60819358e104b2c0""]",1.0,0.510069131458292,2.0,2.0,2.0,2.0,0.0,0.0,phase6b_r7/{split}_per_query.jsonl (D0),phase6b_r7/{split}_per_query.jsonl
15075207,D3_TFIDF,A0018,"[""WMA_af78fd021b31e203"", ""WMA_f1a53e1689cdd303"", ""WMA_5b51809c31bb1925"", ""WMA_60819358e104b2c0"", ""WMA_e223705b679df24d""]",1.0,0.648932,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
15075207,D3_E2_ROBERTA,A0019,"[""WMA_af78fd021b31e203"", ""WMA_60819358e104b2c0"", ""WMA_5b51809c31bb1925"", ""WMA_e223705b679df24d"", ""WMA_198c0363a9e3e176""]",1.0,0.648932,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
15075860,B0,A0020,"[""61547"", ""15244"", ""108959"", ""219600"", ""84955""]",1.0,0.761887,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
15075860,D0,A0021,"[""84955"", ""219600"", ""77583"", ""61547"", ""15244""]",1.0,0.5499887725471477,2.0,2.0,2.0,2.0,0.0,0.0,phase6b_r7/{split}_per_query.jsonl (D0),phase6b_r7/{split}_per_query.jsonl
15075860,D3_TFIDF,A0022,"[""136270"", ""61547"", ""15244"", ""108959"", ""84955""]",1.0,0.589608,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
15075860,D3_E2_ROBERTA,A0023,"[""61547"", ""108959"", ""84955"", ""15244"", ""219600""]",1.0,0.775148,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
15159907,B0,A0024,"[""WMA_e62101ea3ac9781e"", ""WMA_38d5ee6e2aa6621f"", ""163841"", ""105835"", ""106040""]",1.0,0.648932,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
15159907,D0,A0025,"[""WMA_e62101ea3ac9781e"", ""163841"", ""105835"", ""106040"", ""133522""]",1.0,0.6489315753318465,2.0,2.0,2.0,2.0,0.0,0.0,phase6b_r7/{split}_per_query.jsonl (D0),phase6b_r7/{split}_per_query.jsonl
15159907,D3_TFIDF,A0026,"[""WMA_e62101ea3ac9781e"", ""105835"", ""106040"", ""133522"", ""146408""]",1.0,0.648932,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
15159907,D3_E2_ROBERTA,A0027,"[""WMA_e62101ea3ac9781e"", ""WMA_38d5ee6e2aa6621f"", ""163841"", ""105835"", ""106040""]",1.0,0.648932,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
15498904,B0,A0028,"[""WMA_ae60d978d3bb9969"", ""WMA_a2133297ee0726ce"", ""108175"", ""142849"", ""37840""]",1.0,0.648932,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
15498904,D0,A0029,"[""WMA_ae60d978d3bb9969"", ""WMA_a2133297ee0726ce"", ""142849"", ""5154"", ""141686""]",1.0,0.6489315753318465,2.0,2.0,2.0,2.0,0.0,0.0,phase6b_r7/{split}_per_query.jsonl (D0),phase6b_r7/{split}_per_query.jsonl
15498904,D3_TFIDF,A0030,"[""WMA_ae60d978d3bb9969"", ""WMA_a2133297ee0726ce"", ""142849"", ""37840"", ""108175""]",1.0,0.648932,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
15498904,D3_E2_ROBERTA,A0031,"[""151663"", ""WMA_ae60d978d3bb9969"", ""WMA_a2133297ee0726ce"", ""108175"", ""142849""]",1.0,0.648932,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
16772805,B0,A0032,"[""WMA_bda6fca24e3017cc"", ""WMA_31054837064e515f"", ""185577"", ""208355"", ""183430""]",1.0,0.648932,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
16772805,D0,A0033,"[""WMA_31054837064e515f"", ""183802"", ""WMA_bda6fca24e3017cc"", ""185577"", ""208355""]",1.0,0.6489315753318465,2.0,2.0,2.0,2.0,0.0,0.0,phase6b_r7/{split}_per_query.jsonl (D0),phase6b_r7/{split}_per_query.jsonl
16772805,D3_TFIDF,A0034,"[""WMA_bda6fca24e3017cc"", ""WMA_31054837064e515f"", ""183430"", ""184555"", ""188588""]",1.0,0.648932,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
16772805,D3_E2_ROBERTA,A0035,"[""WMA_bda6fca24e3017cc"", ""185577"", ""183430"", ""184555"", ""223030""]",1.0,0.648932,1.0,2.0,2.0,1.0,1.0,1.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
2380293,B0,A0036,"[""36"", ""WMA_921a8ee04d7023af"", ""6173"", ""148222"", ""1002""]",1.0,0.83042,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
2380293,D0,A0037,"[""36"", ""6173"", ""WMA_921a8ee04d7023af"", ""148222"", ""1002""]",1.0,0.7860137352654726,2.0,2.0,2.0,2.0,0.0,0.0,phase6b_r7/{split}_per_query.jsonl (D0),phase6b_r7/{split}_per_query.jsonl
2380293,D3_TFIDF,A0038,"[""36"", ""WMA_921a8ee04d7023af"", ""6173"", ""148222"", ""1002""]",1.0,0.83042,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
2380293,D3_E2_ROBERTA,A0039,"[""WMA_921a8ee04d7023af"", ""36"", ""6173"", ""148222"", ""1002""]",1.0,0.83042,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
384814,B0,A0040,"[""WMA_189742ec172d3cbf"", ""29641"", ""95798"", ""83627"", ""148707""]",0.6,0.602094,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
384814,D0,A0041,"[""64744"", ""117475"", ""148707"", ""29641"", ""WMA_189742ec172d3cbf""]",0.8,0.5754994188159136,2.0,2.0,2.0,2.0,0.0,0.0,phase6b_r7/{split}_per_query.jsonl (D0),phase6b_r7/{split}_per_query.jsonl
384814,D3_TFIDF,A0042,"[""WMA_189742ec172d3cbf"", ""29641"", ""95798"", ""148707"", ""83627""]",0.6,0.591794,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
384814,D3_E2_ROBERTA,A0043,"[""95798"", ""29641"", ""148707"", ""117475"", ""WMA_189742ec172d3cbf""]",0.8,0.575499,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
38916214,B0,A0044,"[""WMA_69cc1ded5df90bca"", ""WMA_e9b2b559e308614b"", ""WMA_91ab0b6779d21aee"", ""WMA_1b990cf3c5b6473e"", ""21946""]",1.0,0.444097,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
38916214,D0,A0045,"[""WMA_69cc1ded5df90bca"", ""WMA_91ab0b6779d21aee"", ""WMA_1b990cf3c5b6473e"", ""WMA_e9b2b559e308614b"", ""WMA_5a5348f28df45e3b""]",1.0,0.40002324830925196,2.0,2.0,2.0,2.0,0.0,0.0,phase6b_r7/{split}_per_query.jsonl (D0),phase6b_r7/{split}_per_query.jsonl
38916214,D3_TFIDF,A0046,"[""WMA_69cc1ded5df90bca"", ""WMA_e9b2b559e308614b"", ""WMA_91ab0b6779d21aee"", ""WMA_1b990cf3c5b6473e"", ""21946""]",1.0,0.444097,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
38916214,D3_E2_ROBERTA,A0047,"[""21946"", ""WMA_69cc1ded5df90bca"", ""WMA_e9b2b559e308614b"", ""WMA_91ab0b6779d21aee"", ""WMA_1b990cf3c5b6473e""]",1.0,0.469,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
407461,B0,A0048,"[""198878"", ""WMA_df5672969666dc61"", ""WMA_35143a9c2a923bd2"", ""WMA_3a5915172d7014be"", ""139997""]",1.0,0.648932,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
407461,D0,A0049,"[""WMA_df5672969666dc61"", ""198878"", ""WMA_ce2a18eab72a945a"", ""WMA_35143a9c2a923bd2"", ""139997""]",1.0,0.6489315753318465,2.0,2.0,2.0,2.0,0.0,0.0,phase6b_r7/{split}_per_query.jsonl (D0),phase6b_r7/{split}_per_query.jsonl
407461,D3_TFIDF,A0050,"[""198878"", ""WMA_ce2a18eab72a945a"", ""WMA_df5672969666dc61"", ""WMA_35143a9c2a923bd2"", ""WMA_3a5915172d7014be""]",1.0,0.648932,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
407461,D3_E2_ROBERTA,A0051,"[""198878"", ""15305"", ""WMA_ce2a18eab72a945a"", ""WMA_94ae1f9e0d4885ce"", ""WMA_df5672969666dc61""]",1.0,0.648932,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
426293,B0,A0052,"[""196072"", ""30974"", ""192430"", ""183212"", ""13894""]",1.0,0.648932,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
426293,D0,A0053,"[""30974"", ""196072"", ""192430"", ""13894"", ""28176""]",1.0,0.6489315753318465,2.0,2.0,2.0,2.0,0.0,0.0,phase6b_r7/{split}_per_query.jsonl (D0),phase6b_r7/{split}_per_query.jsonl
426293,D3_TFIDF,A0054,"[""196072"", ""30974"", ""192430"", ""183212"", ""13894""]",1.0,0.648932,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
426293,D3_E2_ROBERTA,A0055,"[""192430"", ""30974"", ""183212"", ""198658"", ""56157""]",1.0,0.648932,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
64487599,B0,A0056,"[""WMA_06aa10745444a947"", ""163313"", ""61369"", ""61361"", ""78650""]",0.5,0.383566,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
64487599,D0,A0057,"[""163313"", ""41606"", ""WMA_06aa10745444a947"", ""61361"", ""78650""]",1.0,0.5531464700081438,2.0,2.0,2.0,2.0,0.0,0.0,phase6b_r7/{split}_per_query.jsonl (D0),phase6b_r7/{split}_per_query.jsonl
64487599,D3_TFIDF,A0058,"[""163313"", ""WMA_06aa10745444a947"", ""61369"", ""61361"", ""78650""]",0.5,0.50874,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
64487599,D3_E2_ROBERTA,A0059,"[""41606"", ""WMA_06aa10745444a947"", ""163313"", ""61369"", ""61361""]",1.0,0.654809,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
64528472,B0,A0060,"[""WMA_b69598d8cb1ba33b"", ""WMA_9bd6f451e2bcd31d"", ""WMA_7656454800b436a6"", ""WMA_38917db47c6ef006"", ""86845""]",1.0,0.63093,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
64528472,D0,A0061,"[""WMA_9bd6f451e2bcd31d"", ""WMA_b69598d8cb1ba33b"", ""WMA_7656454800b436a6"", ""WMA_38917db47c6ef006"", ""86845""]",1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,phase6b_r7/{split}_per_query.jsonl (D0),phase6b_r7/{split}_per_query.jsonl
64528472,D3_TFIDF,A0062,"[""WMA_b69598d8cb1ba33b"", ""WMA_68cd406b34dbefc9"", ""WMA_9bd6f451e2bcd31d"", ""WMA_7656454800b436a6"", ""WMA_38917db47c6ef006""]",1.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
64528472,D3_E2_ROBERTA,A0063,"[""82084"", ""WMA_b69598d8cb1ba33b"", ""WMA_9bd6f451e2bcd31d"", ""WMA_7656454800b436a6"", ""WMA_38917db47c6ef006""]",1.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
64802654,B0,A0064,"[""52628"", ""161534"", ""60158"", ""53590"", ""99220""]",1.0,0.810462,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
64802654,D0,A0065,"[""52628"", ""53590"", ""99220"", ""127077"", ""153520""]",1.0,0.8104616303452685,2.0,2.0,2.0,2.0,0.0,0.0,phase6b_r7/{split}_per_query.jsonl (D0),phase6b_r7/{split}_per_query.jsonl
64802654,D3_TFIDF,A0066,"[""52628"", ""161534"", ""60158"", ""53590"", ""99220""]",1.0,0.810462,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
64802654,D3_E2_ROBERTA,A0067,"[""52628"", ""161534"", ""60158"", ""53590"", ""99220""]",1.0,0.810462,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
65080497,B0,A0068,"[""WMA_bd90fb0f93a495ee"", ""WMA_8ce897f2829b2f9b"", ""WMA_ad038e19130681d7"", ""WMA_5cbaefcd91b821f4"", ""WMA_324d5201fadd3ee4""]",1.0,0.415281,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
65080497,D0,A0069,"[""WMA_ad038e19130681d7"", ""WMA_8ce897f2829b2f9b"", ""WMA_5cbaefcd91b821f4"", ""157990"", ""WMA_bd90fb0f93a495ee""]",1.0,0.30523488393970116,2.0,2.0,2.0,2.0,0.0,0.0,phase6b_r7/{split}_per_query.jsonl (D0),phase6b_r7/{split}_per_query.jsonl
65080497,D3_TFIDF,A0070,"[""WMA_bd90fb0f93a495ee"", ""157990"", ""188951"", ""225281"", ""WMA_8ce897f2829b2f9b""]",1.0,0.424926,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
65080497,D3_E2_ROBERTA,A0071,"[""WMA_bd90fb0f93a495ee"", ""225281"", ""WMA_ad038e19130681d7"", ""WMA_5cbaefcd91b821f4"", ""188951""]",1.0,0.554143,2.0,2.0,2.0,1.0,0.0,1.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
65684910,B0,A0072,"[""WMA_f81a509f737aec9a"", ""WMA_21597041a5577617"", ""WMA_bf8d1b53b2b33ef9"", ""WMA_80229993d5b6f476"", ""71771""]",0.75,0.648932,1.0,2.0,2.0,1.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
65684910,D0,A0073,"[""210041"", ""26778"", ""WMA_f81a509f737aec9a"", ""WMA_21597041a5577617"", ""WMA_80229993d5b6f476""]",1.0,0.6489315753318465,2.0,2.0,2.0,2.0,0.0,0.0,phase6b_r7/{split}_per_query.jsonl (D0),phase6b_r7/{split}_per_query.jsonl
65684910,D3_TFIDF,A0074,"[""WMA_80229993d5b6f476"", ""71771"", ""WMA_f81a509f737aec9a"", ""WMA_21597041a5577617"", ""WMA_bf8d1b53b2b33ef9""]",0.75,0.648932,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
65684910,D3_E2_ROBERTA,A0075,"[""71771"", ""26778"", ""WMA_f81a509f737aec9a"", ""WMA_21597041a5577617"", ""WMA_bf8d1b53b2b33ef9""]",0.75,0.648932,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
8174063,B0,A0076,"[""WMA_9780c71894513e10"", ""69446"", ""173574"", ""113853"", ""135056""]",0.666667,0.810462,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
8174063,D0,A0077,"[""WMA_9780c71894513e10"", ""25333"", ""166823"", ""69446"", ""173574""]",0.6666666666666666,0.4995958068998837,2.0,2.0,2.0,2.0,0.0,0.0,phase6b_r7/{split}_per_query.jsonl (D0),phase6b_r7/{split}_per_query.jsonl
8174063,D3_TFIDF,A0078,"[""WMA_9780c71894513e10"", ""173574"", ""69446"", ""113853"", ""135056""]",0.666667,0.810462,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
8174063,D3_E2_ROBERTA,A0079,"[""WMA_9780c71894513e10"", ""69446"", ""113853"", ""135056"", ""25333""]",0.666667,0.704125,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
12598613,B0,A0080,"[""WMA_3a59f3bfbe9b354c"", ""164170"", ""WMA_105d9d65ec7f858b"", ""WMA_415c6b7ef718beb2"", ""16909""]",1.0,0.648932,1.0,2.0,2.0,1.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
12598613,D0,A0081,"[""WMA_415c6b7ef718beb2"", ""WMA_105d9d65ec7f858b"", ""WMA_3a59f3bfbe9b354c"", ""16909"", ""164170""]",1.0,0.6489315753318465,2.0,2.0,2.0,2.0,0.0,0.0,phase6b_r7/{split}_per_query.jsonl (D0),phase6b_r7/{split}_per_query.jsonl
12598613,D3_TFIDF,A0082,"[""WMA_17228f33b63ce621"", ""WMA_3a59f3bfbe9b354c"", ""164170"", ""WMA_105d9d65ec7f858b"", ""WMA_415c6b7ef718beb2""]",1.0,0.42884,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
12598613,D3_E2_ROBERTA,A0083,"[""104960"", ""WMA_3a59f3bfbe9b354c"", ""164170"", ""WMA_105d9d65ec7f858b"", ""WMA_415c6b7ef718beb2""]",1.0,0.648932,1.0,2.0,1.0,1.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
12778360,B0,A0084,"[""WMA_1c2802c95851077d"", ""WMA_5ebdf55915de7e03"", ""WMA_f4e5d312bf9896ea"", ""WMA_4b83d804a9651c05"", ""WMA_59c23ae5e9417133""]",1.0,0.787702,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
12778360,D0,A0085,"[""WMA_5ebdf55915de7e03"", ""WMA_1c2802c95851077d"", ""WMA_59c23ae5e9417133"", ""WMA_339d5d9e39cc4f35"", ""WMA_360754d46ad48d65""]",1.0,0.8318724637288826,2.0,2.0,2.0,2.0,0.0,0.0,phase6b_r7/{split}_per_query.jsonl (D0),phase6b_r7/{split}_per_query.jsonl
12778360,D3_TFIDF,A0086,"[""WMA_1c2802c95851077d"", ""WMA_5ebdf55915de7e03"", ""WMA_f4e5d312bf9896ea"", ""WMA_4b83d804a9651c05"", ""WMA_59c23ae5e9417133""]",1.0,0.787702,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
12778360,D3_E2_ROBERTA,A0087,"[""WMA_1c2802c95851077d"", ""WMA_5ebdf55915de7e03"", ""WMA_f4e5d312bf9896ea"", ""WMA_4b83d804a9651c05"", ""WMA_59c23ae5e9417133""]",1.0,0.787702,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
