case_id,detector,pattern_id,family,detected,error,reason
c_4e93228e0e6b4874,invariance,R3,Leak-R,False,,FALSE_NEGATIVE
c_5ee6a3f78cfe405b,ast_static_dataflow,R2,Leak-R,False,,FALSE_NEGATIVE
c_5ee6a3f78cfe405b,schema_guard,R2,Leak-R,False,,FALSE_NEGATIVE
c_5ee6a3f78cfe405b,invariance,R2,Leak-R,False,,FALSE_NEGATIVE
c_5fc080834c9940a4,ast_static_dataflow,F3,Leak-F,False,,FALSE_NEGATIVE
c_5fc080834c9940a4,schema_guard,F3,Leak-F,False,,FALSE_NEGATIVE
c_5fc080834c9940a4,invariance,F3,Leak-F,False,,FALSE_NEGATIVE
c_63b58ebcb32d4f86,ast_static_dataflow,F1,Leak-F,False,,FALSE_NEGATIVE
c_63b58ebcb32d4f86,schema_guard,F1,Leak-F,False,,FALSE_NEGATIVE
c_63b58ebcb32d4f86,invariance,F1,Leak-F,False,,FALSE_NEGATIVE
c_814e484eaf104eba,ast_static_dataflow,M4,Leak-M,False,,FALSE_NEGATIVE
c_9a30535f9b1f4d40,ast_static_dataflow,R4,Leak-R,False,,FALSE_NEGATIVE
c_9a30535f9b1f4d40,schema_guard,R4,Leak-R,False,,FALSE_NEGATIVE
c_9a30535f9b1f4d40,invariance,R4,Leak-R,False,,FALSE_NEGATIVE
c_ac4c9c7f69994c7e,ast_static_dataflow,R4,Leak-R,False,,FALSE_NEGATIVE
c_ac4c9c7f69994c7e,schema_guard,R4,Leak-R,False,,FALSE_NEGATIVE
c_ac4c9c7f69994c7e,invariance,R4,Leak-R,False,,FALSE_NEGATIVE
c_aecd8f5717c74e89,ast_static_dataflow,M2,Leak-M,False,,FALSE_NEGATIVE
c_b113accfd83a424f,ast_static_dataflow,M3,Leak-M,False,,FALSE_NEGATIVE
c_b3a3b48fcf504558,ast_static_dataflow,M2,Leak-M,False,,FALSE_NEGATIVE
c_b3e84a6aa8c1404c,ast_static_dataflow,F1,Leak-F,False,,FALSE_NEGATIVE
c_b3e84a6aa8c1404c,schema_guard,F1,Leak-F,False,,FALSE_NEGATIVE
c_b3e84a6aa8c1404c,invariance,F1,Leak-F,False,,FALSE_NEGATIVE
c_b507d73eb8c6455d,ast_static_dataflow,F3,Leak-F,False,,FALSE_NEGATIVE
c_b507d73eb8c6455d,schema_guard,F3,Leak-F,False,,FALSE_NEGATIVE
c_b507d73eb8c6455d,invariance,F3,Leak-F,False,,FALSE_NEGATIVE
c_b5f8690113c549f1,ast_static_dataflow,F4,Leak-F,False,,FALSE_NEGATIVE
c_b5f8690113c549f1,schema_guard,F4,Leak-F,False,,FALSE_NEGATIVE
c_b5f8690113c549f1,invariance,F4,Leak-F,False,,FALSE_NEGATIVE
c_be7f718673994539,ast_static_dataflow,F3,Leak-F,False,,FALSE_NEGATIVE
c_be7f718673994539,schema_guard,F3,Leak-F,False,,FALSE_NEGATIVE
c_be7f718673994539,invariance,F3,Leak-F,False,,FALSE_NEGATIVE
c_be9ad6022c024bdf,ast_static_dataflow,F4,Leak-F,False,,FALSE_NEGATIVE
c_be9ad6022c024bdf,schema_guard,F4,Leak-F,False,,FALSE_NEGATIVE
c_be9ad6022c024bdf,invariance,F4,Leak-F,False,,FALSE_NEGATIVE
c_c2322518c4564edd,ast_static_dataflow,R2,Leak-R,False,,FALSE_NEGATIVE
c_c2322518c4564edd,schema_guard,R2,Leak-R,False,,FALSE_NEGATIVE
c_c2322518c4564edd,invariance,R2,Leak-R,False,,FALSE_NEGATIVE
c_cb1269e59c0440ae,ast_static_dataflow,R3,Leak-R,False,,FALSE_NEGATIVE
c_cb1269e59c0440ae,schema_guard,R3,Leak-R,False,,FALSE_NEGATIVE
c_cb1269e59c0440ae,invariance,R3,Leak-R,False,,FALSE_NEGATIVE
c_cb57238e779a4852,ast_static_dataflow,M1,Leak-M,False,,FALSE_NEGATIVE
c_dad2a6901e184116,ast_static_dataflow,M2,Leak-M,False,,FALSE_NEGATIVE
c_dc72fd4c3aee4f46,ast_static_dataflow,R1,Leak-R,False,,FALSE_NEGATIVE
c_dc72fd4c3aee4f46,schema_guard,R1,Leak-R,False,,FALSE_NEGATIVE
c_dc72fd4c3aee4f46,invariance,R1,Leak-R,False,,FALSE_NEGATIVE
c_dd199e31029545f0,ast_static_dataflow,R3,Leak-R,False,,FALSE_NEGATIVE
c_dd199e31029545f0,schema_guard,R3,Leak-R,False,,FALSE_NEGATIVE
c_dd199e31029545f0,invariance,R3,Leak-R,False,,FALSE_NEGATIVE
c_f68db75358be43d1,ast_static_dataflow,M1,Leak-M,False,,FALSE_NEGATIVE
c_fae80a5b0eb244b2,ast_static_dataflow,F2,Leak-F,False,,FALSE_NEGATIVE
c_fae80a5b0eb244b2,schema_guard,F2,Leak-F,False,,FALSE_NEGATIVE
c_fae80a5b0eb244b2,invariance,F2,Leak-F,False,,FALSE_NEGATIVE
